Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
Sunndalsøra Iii,SN63420,2012-06-02 23:45:00,5.7
Sunndalsøra Iii,SN63420,2012-06-03 00:15:00,5.8
Sunndalsøra Iii,SN63420,2012-06-03 00:45:00,5.8
Sunndalsøra Iii,SN63420,2012-06-03 01:15:00,5.9
Sunndalsøra Iii,SN63420,2012-06-03 01:45:00,6.0
Sunndalsøra Iii,SN63420,2012-06-03 02:15:00,6
Sunndalsøra Iii,SN63420,2012-06-03 02:45:00,6.0
Sunndalsøra Iii,SN63420,2012-06-03 03:15:00,6.1
Sunndalsøra Iii,SN63420,2012-06-03 03:45:00,6.1
Sunndalsøra Iii,SN63420,2012-06-03 04:15:00,6.1
Sunndalsøra Iii,SN63420,2012-06-03 04:45:00,6.3
Sunndalsøra Iii,SN63420,2012-06-03 05:15:00,6.6
Sunndalsøra Iii,SN63420,2012-06-03 05:45:00,6.6
Sunndalsøra Iii,SN63420,2012-06-03 06:15:00,6.6
Sunndalsøra Iii,SN63420,2012-06-03 06:45:00,6.8
Sunndalsøra Iii,SN63420,2012-06-03 07:15:00,7.1
Sunndalsøra Iii,SN63420,2012-06-03 07:45:00,7.3
Sunndalsøra Iii,SN63420,2012-06-03 08:15:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 08:45:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 09:15:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 09:45:00,7.8
Sunndalsøra Iii,SN63420,2012-06-03 10:15:00,8.1
Sunndalsøra Iii,SN63420,2012-06-03 10:45:00,7.9
Sunndalsøra Iii,SN63420,2012-06-03 11:15:00,7.7
Sunndalsøra Iii,SN63420,2012-06-03 11:45:00,7.8
Sunndalsøra Iii,SN63420,2012-06-03 12:15:00,8
Sunndalsøra Iii,SN63420,2012-06-03 12:45:00,7.8
Sunndalsøra Iii,SN63420,2012-06-03 13:15:00,7.7
Sunndalsøra Iii,SN63420,2012-06-03 13:45:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 14:15:00,7.5
Sunndalsøra Iii,SN63420,2012-06-03 14:45:00,7.5
Sunndalsøra Iii,SN63420,2012-06-03 15:15:00,7.5
Sunndalsøra Iii,SN63420,2012-06-03 15:45:00,7.5
Sunndalsøra Iii,SN63420,2012-06-03 16:15:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 16:45:00,7.7
Sunndalsøra Iii,SN63420,2012-06-03 17:15:00,7.8
Sunndalsøra Iii,SN63420,2012-06-03 17:45:00,7.8
Sunndalsøra Iii,SN63420,2012-06-03 18:15:00,7.7
Sunndalsøra Iii,SN63420,2012-06-03 18:45:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 19:15:00,7.5
Sunndalsøra Iii,SN63420,2012-06-03 19:45:00,7.5
Sunndalsøra Iii,SN63420,2012-06-03 20:15:00,7.5
Sunndalsøra Iii,SN63420,2012-06-03 20:45:00,7.3
Sunndalsøra Iii,SN63420,2012-06-03 21:15:00,7.2
Sunndalsøra Iii,SN63420,2012-06-03 21:45:00,7.2
Sunndalsøra Iii,SN63420,2012-06-03 22:15:00,7.1
Sunndalsøra Iii,SN63420,2012-06-03 22:45:00,7.2
Sunndalsøra Iii,SN63420,2012-06-03 23:15:00,7.3
Sunndalsøra Iii,SN63420,2012-06-03 23:45:00,7.2
Sunndalsøra Iii,SN63420,2012-06-04 00:15:00,7
Sunndalsøra Iii,SN63420,2012-06-04 00:45:00,7.0
Sunndalsøra Iii,SN63420,2012-06-04 01:15:00,6.9
Sunndalsøra Iii,SN63420,2012-06-04 01:45:00,6.7
Sunndalsøra Iii,SN63420,2012-06-04 02:15:00,6.5
Sunndalsøra Iii,SN63420,2012-06-04 02:45:00,6.5
Sunndalsøra Iii,SN63420,2012-06-04 03:15:00,6.4
Sunndalsøra Iii,SN63420,2012-06-04 03:45:00,6.4
Sunndalsøra Iii,SN63420,2012-06-04 04:15:00,6.4
Sunndalsøra Iii,SN63420,2012-06-04 04:45:00,6.3
Sunndalsøra Iii,SN63420,2012-06-04 05:15:00,6.3
Sunndalsøra Iii,SN63420,2012-06-04 05:45:00,6.3
Sunndalsøra Iii,SN63420,2012-06-04 06:15:00,6.4
Sunndalsøra Iii,SN63420,2012-06-04 06:45:00,6.5
Sunndalsøra Iii,SN63420,2012-06-04 07:15:00,6.6
Sunndalsøra Iii,SN63420,2012-06-04 07:45:00,6.8
Sunndalsøra Iii,SN63420,2012-06-04 08:15:00,6.9
Sunndalsøra Iii,SN63420,2012-06-04 08:45:00,7.2
Sunndalsøra Iii,SN63420,2012-06-04 09:15:00,7.5
Sunndalsøra Iii,SN63420,2012-06-04 09:45:00,8.0
Sunndalsøra Iii,SN63420,2012-06-04 10:15:00,8.5
Sunndalsøra Iii,SN63420,2012-06-04 10:45:00,8.9
Sunndalsøra Iii,SN63420,2012-06-04 11:15:00,9.3
Sunndalsøra Iii,SN63420,2012-06-04 11:45:00,9.8
Sunndalsøra Iii,SN63420,2012-06-04 12:15:00,10.3
Sunndalsøra Iii,SN63420,2012-06-04 12:45:00,10.6
Sunndalsøra Iii,SN63420,2012-06-04 13:15:00,10.8
Sunndalsøra Iii,SN63420,2012-06-04 13:45:00,10.9
Sunndalsøra Iii,SN63420,2012-06-04 14:15:00,11
Sunndalsøra Iii,SN63420,2012-06-04 14:45:00,11.3
Sunndalsøra Iii,SN63420,2012-06-04 15:15:00,11.6
Sunndalsøra Iii,SN63420,2012-06-04 15:45:00,12.4
Sunndalsøra Iii,SN63420,2012-06-04 16:15:00,13.2
Sunndalsøra Iii,SN63420,2012-06-04 16:45:00,13.1
Sunndalsøra Iii,SN63420,2012-06-04 17:15:00,12.9
Sunndalsøra Iii,SN63420,2012-06-04 17:45:00,13.4
Sunndalsøra Iii,SN63420,2012-06-04 18:15:00,14
Sunndalsøra Iii,SN63420,2012-06-04 18:45:00,13.2
Sunndalsøra Iii,SN63420,2012-06-04 19:15:00,12.3
Sunndalsøra Iii,SN63420,2012-06-04 19:45:00,11.8
Sunndalsøra Iii,SN63420,2012-06-04 20:15:00,11.2
Sunndalsøra Iii,SN63420,2012-06-04 20:45:00,10.8
Sunndalsøra Iii,SN63420,2012-06-04 21:15:00,10.3
Sunndalsøra Iii,SN63420,2012-06-04 21:45:00,10.2
Sunndalsøra Iii,SN63420,2012-06-04 22:15:00,10.1
Sunndalsøra Iii,SN63420,2012-06-04 22:45:00,9.9
Sunndalsøra Iii,SN63420,2012-06-04 23:15:00,9.7
Sunndalsøra Iii,SN63420,2012-06-04 23:45:00,9.6
Sunndalsøra Iii,SN63420,2012-06-05 00:15:00,9.6
Sunndalsøra Iii,SN63420,2012-06-05 00:45:00,9.1
Sunndalsøra Iii,SN63420,2012-06-05 01:15:00,8.7
Sunndalsøra Iii,SN63420,2012-06-05 01:45:00,8.5
Sunndalsøra Iii,SN63420,2012-06-05 02:15:00,8.3
Sunndalsøra Iii,SN63420,2012-06-05 02:45:00,8.2
Sunndalsøra Iii,SN63420,2012-06-05 03:15:00,8.1
Sunndalsøra Iii,SN63420,2012-06-05 03:45:00,8.1
Sunndalsøra Iii,SN63420,2012-06-05 04:15:00,8
Sunndalsøra Iii,SN63420,2012-06-05 04:45:00,8.0
Sunndalsøra Iii,SN63420,2012-06-05 05:15:00,8
Sunndalsøra Iii,SN63420,2012-06-05 05:45:00,7.9
Sunndalsøra Iii,SN63420,2012-06-05 06:15:00,7.8
Sunndalsøra Iii,SN63420,2012-06-05 06:45:00,7.9
Sunndalsøra Iii,SN63420,2012-06-05 07:15:00,8
Sunndalsøra Iii,SN63420,2012-06-05 07:45:00,8.1
Sunndalsøra Iii,SN63420,2012-06-05 08:15:00,8.2
Sunndalsøra Iii,SN63420,2012-06-05 08:45:00,8.6
Sunndalsøra Iii,SN63420,2012-06-05 09:15:00,9
Sunndalsøra Iii,SN63420,2012-06-05 09:45:00,9.2
Sunndalsøra Iii,SN63420,2012-06-05 10:15:00,9.3
Sunndalsøra Iii,SN63420,2012-06-05 10:45:00,9.9
Sunndalsøra Iii,SN63420,2012-06-05 11:15:00,10.5
Sunndalsøra Iii,SN63420,2012-06-05 11:45:00,12.2
Sunndalsøra Iii,SN63420,2012-06-05 12:15:00,13.9
Sunndalsøra Iii,SN63420,2012-06-05 12:45:00,13.7
Sunndalsøra Iii,SN63420,2012-06-05 13:15:00,13.4
Sunndalsøra Iii,SN63420,2012-06-05 13:45:00,13.1
Sunndalsøra Iii,SN63420,2012-06-05 14:15:00,12.8
Sunndalsøra Iii,SN63420,2012-06-05 14:45:00,12.8
Sunndalsøra Iii,SN63420,2012-06-05 15:15:00,12.8
Sunndalsøra Iii,SN63420,2012-06-05 15:45:00,11.8
Sunndalsøra Iii,SN63420,2012-06-05 16:15:00,10.7
Sunndalsøra Iii,SN63420,2012-06-05 16:45:00,10.3
Sunndalsøra Iii,SN63420,2012-06-05 17:15:00,9.9
Sunndalsøra Iii,SN63420,2012-06-05 17:45:00,9.9
Sunndalsøra Iii,SN63420,2012-06-05 18:15:00,9.9
Sunndalsøra Iii,SN63420,2012-06-05 18:45:00,10.6
Sunndalsøra Iii,SN63420,2012-06-05 19:15:00,11.3
Sunndalsøra Iii,SN63420,2012-06-05 19:45:00,11.2
Sunndalsøra Iii,SN63420,2012-06-05 20:15:00,11
Sunndalsøra Iii,SN63420,2012-06-05 20:45:00,10.8
Sunndalsøra Iii,SN63420,2012-06-05 21:15:00,10.5
Sunndalsøra Iii,SN63420,2012-06-05 21:45:00,10.3
Sunndalsøra Iii,SN63420,2012-06-05 22:15:00,10.1
Sunndalsøra Iii,SN63420,2012-06-05 22:45:00,10.1
Sunndalsøra Iii,SN63420,2012-06-05 23:15:00,10.2
Sunndalsøra Iii,SN63420,2012-06-05 23:45:00,9.9
Sunndalsøra Iii,SN63420,2012-06-06 00:15:00,9.6
Sunndalsøra Iii,SN63420,2012-06-06 00:45:00,9.4
Sunndalsøra Iii,SN63420,2012-06-06 01:15:00,9.3
Sunndalsøra Iii,SN63420,2012-06-06 01:45:00,9.2
Sunndalsøra Iii,SN63420,2012-06-06 02:15:00,9.2
Sunndalsøra Iii,SN63420,2012-06-06 02:45:00,8.8
Sunndalsøra Iii,SN63420,2012-06-06 03:15:00,8.4
Sunndalsøra Iii,SN63420,2012-06-06 03:45:00,8.2
Sunndalsøra Iii,SN63420,2012-06-06 04:15:00,7.9
Sunndalsøra Iii,SN63420,2012-06-06 04:45:00,8.1
Sunndalsøra Iii,SN63420,2012-06-06 05:15:00,8.3
Sunndalsøra Iii,SN63420,2012-06-06 05:45:00,8.3
Sunndalsøra Iii,SN63420,2012-06-06 06:15:00,8.3
Sunndalsøra Iii,SN63420,2012-06-06 06:45:00,8.4
Sunndalsøra Iii,SN63420,2012-06-06 07:15:00,8.6
Sunndalsøra Iii,SN63420,2012-06-06 07:45:00,8.8
Sunndalsøra Iii,SN63420,2012-06-06 08:15:00,9
Sunndalsøra Iii,SN63420,2012-06-06 08:45:00,9.4
Sunndalsøra Iii,SN63420,2012-06-06 09:15:00,9.9
Sunndalsøra Iii,SN63420,2012-06-06 09:45:00,10.2
Sunndalsøra Iii,SN63420,2012-06-06 10:15:00,10.6
Sunndalsøra Iii,SN63420,2012-06-06 10:45:00,10.8
Sunndalsøra Iii,SN63420,2012-06-06 11:15:00,10.9
Sunndalsøra Iii,SN63420,2012-06-06 11:45:00,11.2
Sunndalsøra Iii,SN63420,2012-06-06 12:15:00,11.6
Sunndalsøra Iii,SN63420,2012-06-06 12:45:00,12.2
Sunndalsøra Iii,SN63420,2012-06-06 13:15:00,12.8
Sunndalsøra Iii,SN63420,2012-06-06 13:45:00,12.9
Sunndalsøra Iii,SN63420,2012-06-06 14:15:00,12.9
Sunndalsøra Iii,SN63420,2012-06-06 14:45:00,13.2
Sunndalsøra Iii,SN63420,2012-06-06 15:15:00,13.4
Sunndalsøra Iii,SN63420,2012-06-06 15:45:00,13.9
Sunndalsøra Iii,SN63420,2012-06-06 16:15:00,14.3
Sunndalsøra Iii,SN63420,2012-06-06 16:45:00,14.8
Sunndalsøra Iii,SN63420,2012-06-06 17:15:00,15.2
Sunndalsøra Iii,SN63420,2012-06-06 17:45:00,15.1
Sunndalsøra Iii,SN63420,2012-06-06 18:15:00,15.1
Sunndalsøra Iii,SN63420,2012-06-06 18:45:00,14.8
Sunndalsøra Iii,SN63420,2012-06-06 19:15:00,14.5
Sunndalsøra Iii,SN63420,2012-06-06 19:45:00,13.8
Sunndalsøra Iii,SN63420,2012-06-06 20:15:00,13.2
Sunndalsøra Iii,SN63420,2012-06-06 20:45:00,12.6
Sunndalsøra Iii,SN63420,2012-06-06 21:15:00,12
Sunndalsøra Iii,SN63420,2012-06-06 21:45:00,11.5
Sunndalsøra Iii,SN63420,2012-06-06 22:15:00,11
Sunndalsøra Iii,SN63420,2012-06-06 22:45:00,10.3
Sunndalsøra Iii,SN63420,2012-06-06 23:15:00,9.7
Sunndalsøra Iii,SN63420,2012-06-06 23:45:00,9.1
Sunndalsøra Iii,SN63420,2012-06-07 00:15:00,8.5
Sunndalsøra Iii,SN63420,2012-06-07 00:45:00,8.1
Sunndalsøra Iii,SN63420,2012-06-07 01:15:00,7.6
Sunndalsøra Iii,SN63420,2012-06-07 01:45:00,7.2
Sunndalsøra Iii,SN63420,2012-06-07 02:15:00,6.7
Sunndalsøra Iii,SN63420,2012-06-07 02:45:00,7.4
Sunndalsøra Iii,SN63420,2012-06-07 03:15:00,8.1
Sunndalsøra Iii,SN63420,2012-06-07 03:45:00,8.1
Sunndalsøra Iii,SN63420,2012-06-07 04:15:00,8
