	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	YYYY MM DD

	2013 06 06	15:16:00	101	62.914698	8.186660		3D	-435	1.5	4	12	5	13	24	548	01000011	484	01111111	00000000	Init		
	2013 06 21	08:02:00	85	62.910707	8.210937		3D	35	2.1	4	8	3	1	21	559	01000011	712	01111111	00000000	Init		
	2013 06 21	08:15:00	25	62.910722	8.210785		3D	50	2.0	4	10	0	0	19	615	01000010	716	00001111	11111111			
	2013 06 21	08:45:00		Time Out								0	0	17	612	00001000	712	00001111	11111111			
	2013 06 21	09:15:00	38	62.910963	8.210888		3D	45	3.8	4	0	8	5	18	614	01000010	716	00001111	11111111			
	2013 06 21	09:45:00		Time Out								21	7	19	613	00001000	712	00001111	11111111			
	2013 06 21	10:15:00		Time Out								32	9	17	612	00001000	712	00001111	11111111			
	2013 06 21	10:45:00	75	62.911707	8.210292		3D	36	1.7	4	0	24	10	16	613	01000010	712	00001111	11111111			
	2013 06 21	11:15:00	89	62.911855	8.210115		3D	44	2.4	5	3	31	20	15	612	01001010	712	00001111	11111111			
	2013 06 21	11:45:00	63	62.911515	8.210325		3D	55	1.7	5	5	0	0	15	612	01000010	712	00001111	11111111			
	2013 06 21	12:15:00	33	62.911623	8.210302		3D	57	1.6	5	3	0	0	17	615	01000010	712	00001111	11111111			
	2013 06 21	12:45:00	58	62.911608	8.210132		2D	0	2.9	3	0	0	0	19	614	10001010	712	00001111	11111111			
	2013 06 21	13:15:00	66	62.911602	8.210497		3D	56	1.8	5	11	7	5	20	615	01000010	712	00001111	11111111			
	2013 06 21	13:45:00	72	62.911508	8.210120		3D	55	1.0	7	6	0	1	21	615	01000010	712	00001111	11111111			
	2013 06 21	14:15:00	37	62.911768	8.210217		3D	42	1.3	6	2	13	7	21	617	01000010	712	00001111	11111111			
	2013 06 21	14:45:00	39	62.911857	8.210287		3D	80	1.8	5	0	17	9	17	615	01000010	712	00001111	11111111			
	2013 06 21	15:15:00	60	62.911782	8.209983		3D	50	1.8	6	1	27	6	16	613	01000010	712	00001111	11111111			
	2013 06 21	15:45:00	22	62.911093	8.210073		3D	0	2.0	4	1	5	2	16	618	01000010	712	00001111	11111111			
	2013 06 21	16:15:00	21	62.911060	8.210635		3D	65	1.7	4	2	0	0	17	619	01000010	712	00001111	11111111			
	2013 06 21	16:45:00	56	62.911435	8.210213		3D	63	2.3	4	4	0	0	19	615	01001010	712	00001111	11111111			
	2013 06 21	17:15:00	62	62.911518	8.210190		3D	55	1.8	4	2	2	7	22	615	01000010	712	00001111	11111111			
	2013 06 21	17:45:00		Time Out								30	29	16	613	00001000	712	00001111	11111111			
	2013 06 21	18:15:00		Time Out								43	28	14	612	00001000	708	00001111	11111111			
	2013 06 21	18:45:00	89	62.906855	8.228533		3D	382	4.6	4	0	15	2	13	611	01001010	712	00001111	11111111			
	2013 06 21	19:15:00	61	62.906415	8.229490		3D	206	1.6	4	0	2	1	15	612	01000010	708	00001111	11111111			
	2013 06 21	19:45:00	60	62.906550	8.228970		3D	394	2.3	6	1	11	8	14	612	01000010	708	00001111	11111111			
	2013 06 21	20:15:00	67	62.906185	8.228458		3D	400	3.3	4	0	1	0	13	612	01000010	708	00001111	11111111			
	2013 06 21	20:45:00	72	62.906257	8.228660		3D	416	3.5	4	0	0	1	13	611	01100010	708	00001011	11111111		StartE	
	2013 06 21	21:15:00	60	62.906385	8.228720		3D	433	3.5	4	2	0	0	13	611	01000010	708	00001111	11111111			
	2013 06 21	21:45:00	89	62.904723	8.225460		3D	391	4.2	5	0	19	4	12	611	01001010	708	00001111	11111111			
	2013 06 21	22:15:00	76	62.904490	8.224993		3D	350	3.3	4	11	0	0	13	611	01000010	708	00001111	11111111			
	2013 06 21	22:45:00		Time Out								1	0	14	611	00001000	708	00001111	11111111			
	2013 06 21	23:15:00	60	62.904618	8.225095		3D	405	3.0	4	0	0	0	15	612	01000010	708	00001111	11111111			
	2013 06 21	23:45:00	80	62.904003	8.223302		3D	410	3.4	4	0	35	8	12	611	01000010	708	00001111	11111111			
