	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	YYYY MM DD

	2014 06 23	15:15:00	30	62.987097	8.221945		3D	208	1.7	4	0	8	9	22	623	01000010	0	00000001	00000000			
	2014 06 23	15:45:00	30	62.990237	8.203540		3D	339	1.1	5	0	11	6	19	624	01000010	0	00000001	00000000			
	2014 06 23	16:15:00	72	62.992017	8.199340		2D	0	2.6	3	0	34	7	13	616	10000010	0	00000001	00000000			
	2014 06 23	16:45:00	79	62.990085	8.200850		3D	356	2.0	4	0	0	1	13	614	01000010	0	00000001	00000000			
	2014 06 23	17:15:00	44	62.989983	8.200325		3D	299	2.8	4	0	0	2	14	617	01000010	0	00000001	00000000			
	2014 06 23	17:45:00	30	62.989992	8.200573		3D	335	3.4	4	0	8	3	10	618	01000010	0	00000001	00000000			
	2014 06 23	18:15:00	61	62.989287	8.198680		3D	322	2.1	5	0	36	27	9	614	01000010	0	00000001	00000000			
	2014 06 23	18:45:00	30	62.989695	8.197877		3D	323	1.8	5	0	15	6	9	616	01000010	0	00000001	00000000			
	2014 06 23	19:15:00	30	62.989748	8.197992		3D	340	2.8	5	0	14	5	8	616	01000010	0	00000001	00000000			
	2014 06 23	19:45:00	30	62.989573	8.199482		3D	325	5.9	5	0	10	7	8	615	01000010	0	00000001	00000000			
	2014 06 23	20:15:00	44	62.989808	8.204857		3D	324	1.9	7	0	0	0	8	613	01000010	0	00000001	00000000			
	2014 06 23	20:45:00	30	62.990178	8.205057		3D	326	1.3	6	0	0	0	8	615	01000010	0	00000001	00000000			
	2014 06 23	21:15:00	30	62.989725	8.199442		3D	329	1.1	6	0	13	5	8	615	01000010	0	00000001	00000000			
	2014 06 23	21:45:00	30	62.989715	8.199502		3D	311	1.3	5	0	0	0	9	616	01000010	0	00000001	00000000			
	2014 06 23	22:15:00	44	62.989840	8.199470		3D	345	1.1	6	0	1	1	11	615	01000010	0	00000001	00000000			
	2014 06 23	22:45:00	30	62.989672	8.199505		3D	325	2.9	5	0	0	0	13	618	01000010	0	00000001	00000000			
	2014 06 23	23:15:00	44	62.989685	8.199443		3D	320	1.6	5	0	0	0	14	617	01000010	0	00000001	00000000			
	2014 06 23	23:45:00	30	62.989685	8.199512		3D	317	1.4	5	0	0	0	14	619	01000010	0	00000001	00000000			
	2014 06 24	00:15:00	30	62.989722	8.199458		3D	322	2.6	4	0	0	0	14	619	01000010	0	00000001	00000000			
	2014 06 24	00:45:00	44	62.989645	8.199400		3D	317	1.4	6	0	0	0	18	619	01000010	0	00000001	00000000			
	2014 06 24	01:15:00	30	62.989693	8.199460		3D	314	1.6	6	0	0	0	19	621	01000010	0	00000001	00000000			
	2014 06 24	01:45:00	30	62.989678	8.199528		3D	333	7.7	4	0	0	0	17	620	01000010	0	00000001	00000000			
	2014 06 24	02:15:00	44	62.989635	8.199447		3D	326	3.5	5	0	2	2	19	619	01000010	0	00000001	00000000			
	2014 06 24	02:45:00	30	62.989860	8.199173		3D	357	4.5	5	0	0	0	17	621	01000010	0	00000001	00000000			
	2014 06 24	03:15:00	30	62.989847	8.199183		3D	309	5.6	5	0	0	1	15	620	01000010	0	00000001	00000000			
	2014 06 24	03:45:00	30	62.989962	8.199073		3D	309	6.0	4	0	9	3	15	619	01000010	0	00000001	00000000			
	2014 06 24	04:15:00	44	62.989652	8.199328		3D	322	1.9	7	0	6	0	12	615	01000010	0	00000001	00000000			
	2014 06 24	04:45:00	30	62.989872	8.198942		3D	330	3.4	6	0	0	0	11	617	01000010	0	00000001	00000000			
	2014 06 24	05:15:00	30	62.989747	8.198927		3D	319	2.8	5	0	0	0	14	618	01000010	0	00000001	00000000			
	2014 06 24	05:45:00	30	62.990158	8.197617		3D	274	3.0	4	0	0	0	17	620	01000010	0	00000001	00000000			
	2014 06 24	06:15:00	45	62.989890	8.197338		3D	313	6.6	4	0	11	6	17	618	01000010	0	00000001	00000000			
	2014 06 24	06:45:00	44	62.988872	8.195845		3D	333	5.4	4	0	9	7	12	615	01000010	0	00000001	00000000			
	2014 06 24	07:15:00	30	62.988680	8.195127		3D	325	5.8	4	0	0	0	13	617	01000010	0	00000001	00000000			
	2014 06 24	07:45:00	79	62.988525	8.193415		3D	349	1.7	4	0	23	24	11	613	01000010	0	00000001	00000000			
	2014 06 24	08:15:00	60	62.987620	8.192713		3D	342	1.5	6	0	37	29	11	613	01000010	0	00000001	00000000			
