	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	YYYY MM DD

	2014 06 03	13:30:00	89	62.914138	8.184757		3D	44	1.8	5	7	1	0	26	560	01000011	0	01111111	00000000	Init		
	2014 06 03	14:24:00	68	62.910938	8.210890		3D	57	1.7	6	3	4	7	25	571	01000011	704	01111111	00000000	Init		
	2014 06 03	14:45:00	62	62.911028	8.211073		3D	50	1.9	6	0	19	13	25	610	01000010	704	00001111	11111111			
	2014 06 03	15:15:00	62	62.911140	8.210393		3D	24	3.5	4	1	21	8	22	609	01000010	0	00001111	00000000			
	2014 06 03	15:45:00	73	62.911890	8.210070		3D	51	1.8	6	5	35	17	20	608	01000010	0	00001111	00000000			
	2014 06 03	16:15:00	62	62.909163	8.211845		3D	62	2.1	5	3	14	3	19	608	01000010	0	00001111	00000000			
	2014 06 03	16:45:00	65	62.908172	8.211402		3D	22	2.5	4	4	25	10	19	608	01000010	0	00001111	00000000			
	2014 06 03	17:15:00		Time Out								17	6	20	607	00001000	704	00001111	11111111			
	2014 06 03	17:45:00	72	62.908540	8.210843		3D	54	1.3	5	8	3	1	20	608	01000010	0	00001111	00000000			
	2014 06 03	18:15:00	22	62.908752	8.211042		3D	37	1.6	4	1	1	2	20	613	01000010	0	00001111	00000000			
	2014 06 03	18:45:00		Time Out								7	4	19	606	00001000	0	00001111	00000000			
	2014 06 03	19:15:00	73	62.909312	8.212263		3D	86	1.7	6	4	14	5	17	605	01000010	0	00001111	00000000			
	2014 06 03	19:45:00	60	62.908693	8.210937		3D	57	1.7	6	0	7	4	17	605	01000010	700	00001111	11111111			
	2014 06 03	20:15:00	61	62.908475	8.210562		3D	67	1.7	6	2	8	3	16	604	01000010	0	00001111	00000000			
	2014 06 03	20:45:00	61	62.909467	8.212062		3D	71	1.5	8	8	9	11	15	603	01000010	0	00001111	00000000			
	2014 06 03	21:15:00	60	62.909170	8.212170		3D	47	2.6	5	3	1	3	14	603	01000010	0	00001111	00000000			
	2014 06 03	21:45:00	60	62.909173	8.212187		3D	53	1.8	5	0	2	3	15	603	01000010	0	00001111	00000000			
	2014 06 03	22:15:00	68	62.909757	8.213178		3D	0	12.6	5	2	0	0	14	602	01000010	700	00001111	11111111			
	2014 06 03	22:45:00	61	62.909178	8.212192		3D	52	1.1	8	2	2	7	16	603	01000010	0	00001111	00000000			
	2014 06 03	23:15:00	60	62.909803	8.212545		3D	75	2.1	6	0	15	5	14	602	01000010	0	00001111	00000000			
	2014 06 03	23:45:00	61	62.909352	8.212622		3D	72	3.0	5	2	4	2	12	601	01000010	0	00001111	00000000			
	2014 06 04	00:15:00	60	62.909328	8.212610		3D	72	1.5	6	2	2	0	12	601	01000010	0	00001111	00000000			
	2014 06 04	00:45:00	61	62.909383	8.212518		3D	64	1.5	5	4	7	9	12	600	01000010	700	00001111	11111111			
	2014 06 04	01:15:00	70	62.908230	8.210173		3D	41	6.8	4	1	25	10	12	600	01000010	0	00001111	00000000			
	2014 06 04	01:45:00	60	62.909130	8.211762		3D	71	1.6	5	7	18	4	13	601	01000010	0	00001111	00000000			
	2014 06 04	02:15:00	66	62.909262	8.211742		3D	55	2.3	5	3	4	3	14	601	01000010	0	00001111	00000000			
	2014 06 04	02:45:00	61	62.909138	8.211742		3D	62	2.3	5	0	1	0	13	600	01100010	0	00001011	00000000		StartE	
	2014 06 04	03:15:00	67	62.908420	8.210628		3D	50	1.2	7	3	12	4	14	600	01000010	700	00001111	11111111			
	2014 06 04	03:45:00	61	62.908557	8.210367		3D	58	1.5	6	5	16	5	13	600	01000010	0	00001111	00000000			
	2014 06 04	04:15:00	62	62.909685	8.212855		3D	62	2.9	4	0	14	6	13	600	01000010	0	00001111	00000000			
	2014 06 04	04:45:00	63	62.909263	8.212340		3D	58	2.1	5	2	15	8	14	600	01000010	0	00001111	00000000			
	2014 06 04	05:15:00	62	62.908002	8.210092		3D	72	1.9	6	1	17	4	15	601	01000010	0	00001111	00000000			
	2014 06 04	05:45:00	60	62.909168	8.211673		3D	59	1.7	5	4	18	11	15	601	01000010	700	00001111	11111111			
	2014 06 04	06:15:00	60	62.909705	8.212835		3D	105	1.9	4	1	5	5	15	601	01000010	0	00001111	00000000			
	2014 06 04	06:45:00	60	62.909487	8.212252		3D	56	2.3	4	0	1	0	17	602	01000010	0	00001111	00000000			
	2014 06 04	07:15:00		Time Out								0	0	21	604	00001000	0	00001111	00000000			
	2014 06 04	07:45:00	22	62.908840	8.211870		3D	37	5.7	5	1	0	0	21	609	01000010	0	00001111	00000000			
	2014 06 04	08:15:00	66	62.907927	8.209328		3D	55	3.1	6	2	23	8	20	604	01000010	700	00001111	11111111			
	2014 06 04	08:45:00		Time Out								32	4	22	604	00001000	0	00001111	00000000			
	2014 06 04	09:15:00	92	62.909402	8.211388		3D	47	4.4	5	2	4	0	22	604	01001010	0	00001111	00000000			
	2014 06 04	09:45:00	60	62.909380	8.211382		3D	67	1.8	4	2	1	0	23	605	01000010	0	00001111	00000000			
	2014 06 04	10:15:00	68	62.909407	8.211427		3D	16	1.5	4	2	10	2	22	605	01000010	0	00001111	00000000			
	2014 06 04	10:45:00	74	62.909333	8.211290		3D	51	1.4	5	6	2	0	21	604	01000010	704	00001111	11111111			
	2014 06 04	11:15:00	60	62.909145	8.211708		3D	60	2.5	5	1	29	11	22	604	01000010	0	00001111	00000000			
	2014 06 04	11:45:00	56	62.909357	8.212247		2D	0	2.5	3	0	9	2	22	604	10001010	0	00001111	00000000			
	2014 06 04	12:15:00		Time Out								2	0	25	605	00001000	0	00001111	00000000			
	2014 06 04	12:45:00	89	62.909152	8.211680		3D	46	2.7	4	0	38	26	24	605	01001010	0	00001111	00000000			
	2014 06 04	13:15:00	34	62.909538	8.212657		3D	34	2.9	4	3	5	2	24	608	01000010	704	00001111	11111111			
	2014 06 04	13:45:00	69	62.909385	8.210512		3D	57	2.3	4	2	13	4	21	604	01000010	0	00001111	00000000			
	2014 06 04	14:15:00	59	62.908338	8.209178		3D	39	1.7	5	1	23	5	21	603	01000010	0	00001111	00000000			
	2014 06 04	14:45:00	59	62.908528	8.210683		3D	64	1.8	5	1	22	17	22	604	01000010	0	00001111	00000000			
	2014 06 04	15:15:00	61	62.908533	8.210698		3D	79	2.5	4	1	1	0	25	605	01000010	0	00001111	00000000			
	2014 06 04	15:45:00	71	62.908587	8.210525		3D	54	4.3	5	5	0	0	24	605	01000010	700	00001111	11111111			
	2014 06 04	16:15:00	59	62.908485	8.210725		3D	61	1.8	4	0	0	0	24	605	01000010	0	00001111	00000000			
