	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	YYYY MM DD

	2013 06 06	13:58:00	103	62.914257	8.184865		3D	54	1.6	6	10	3	13	25	544	01000011	0	01111111	00000000	Init		
	2013 06 13	10:38:00		Time Out								43	25	22	561	00001001	712	01111111	00000000	Init		
	2013 06 13	10:45:00		Time Out								29	20	22	610	00001000	712	00001111	11111111			
	2013 06 13	11:15:00		Time Out								18	13	22	612	00001000	712	00001111	11111111			
	2013 06 13	11:45:00		Time Out								30	18	21	612	00001000	712	00001111	11111111			
	2013 06 13	12:15:00	67	62.988462	8.244727		3D	38	2.6	4	0	10	7	22	613	01000010	708	00001111	11111111			
	2013 06 13	12:45:00	22	62.988340	8.244462		3D	4	2.6	4	5	6	3	23	618	01000010	708	00001111	11111111			
	2013 06 13	13:15:00	56	62.987398	8.244982		2D	0	2.9	3	0	1	1	24	614	10001010	708	00001111	11111111			
	2013 06 13	13:45:00	57	62.987467	8.244765		2D	0	3.7	3	0	35	15	22	613	10001010	712	00001111	11111111			
	2013 06 13	14:15:00	71	62.987357	8.245718		3D	-3	2.3	4	1	40	26	21	612	01000010	708	00001111	11111111			
	2013 06 13	14:45:00	66	62.987417	8.245013		3D	14	3.3	5	0	0	0	22	613	01000010	708	00001111	11111111			
	2013 06 13	15:15:00	22	62.987318	8.245217		3D	8	2.6	4	0	7	3	22	617	01000010	708	00001111	11111111			
	2013 06 13	15:45:00	22	62.987772	8.244550		3D	14	2.1	4	1	3	1	22	618	01000010	708	00001111	11111111			
	2013 06 13	16:15:00	33	62.988968	8.245138		3D	328	1.6	4	25	8	4	21	616	01000010	708	00001111	11111111			
	2013 06 13	16:45:00	56	62.988615	8.246125		2D	0	1.7	3	0	21	7	19	613	10001010	708	00001111	11111111			
	2013 06 13	17:15:00		Time Out								37	31	17	611	00001000	708	00001111	11111111			
	2013 06 13	17:45:00		Time Out								33	48	18	611	00001000	708	00001111	11111111			
	2013 06 13	18:15:00	89	62.984647	8.232157		2D	0	4.1	3	0	16	2	17	611	10001010	708	00001111	11111111			
	2013 06 13	18:45:00	61	62.984440	8.223715		3D	146	4.6	4	1	39	18	17	611	01000010	708	00001111	11111111			
	2013 06 13	19:15:00	21	62.985063	8.225750		3D	104	7.4	4	3	0	0	17	616	01000010	704	00001111	11111111			
	2013 06 13	19:45:00	62	62.985417	8.226015		2D	0	5.7	3	0	2	6	17	611	10001010	708	00001111	11111111			
	2013 06 13	20:15:00	21	62.985840	8.225547		3D	222	1.9	4	6	0	0	17	616	01000010	708	00001111	11111111			
	2013 06 13	20:45:00	64	62.985135	8.225770		3D	0	14.4	5	2	11	3	18	612	01000010	700	00001111	11111111			
	2013 06 13	21:15:00	66	62.984355	8.228552		3D	74	3.8	5	0	24	20	16	610	01000010	708	00001111	11111111			
	2013 06 13	21:45:00	72	62.984333	8.228013		3D	59	3.1	4	2	39	23	14	610	01000010	708	00001111	11111111			
