Sett;Start;Slutt;i, slutt;datasett;rase;Size;Farm;sau_id;Bjelle_id
72.0;2015-06-13 00:15:00;2015-09-06 23:45:00;253360.0;2015_koksvik_30051_2216;Gr. Trnd.;4118.0;koksvik;30051;2216
73.0;2015-06-13 00:15:00;2015-09-06 23:45:00;257461.0;2015_koksvik_40035_2213;Gr. Trnd.;4100.0;koksvik;40035;2213
74.0;2015-06-13 00:15:00;2015-09-06 23:45:00;261582.0;2015_koksvik_40067_2225;Gr. Trnd.;4120.0;koksvik;40067;2225
75.0;2015-07-03 00:15:00;2015-08-27 18:45:00;263947.0;2015_torjul_10098_2229;Spel;2364.0;torjul;10098;2229
76.0;2015-07-03 00:15:00;2015-09-06 23:45:00;267054.0;2015_torjul_20066_2227;Spel;3106.0;torjul;20066;2227
77.0;2015-07-03 00:15:00;2015-07-03 09:45:00;267075.0;2015_torjul_20069_2226;Spel;20.0;torjul;20069;2226
78.0;2015-07-03 00:45:00;2015-09-06 23:45:00;270222.0;2015_torjul_20091_2230;Spel;3146.0;torjul;20091;2230
79.0;2015-07-03 01:15:00;2015-07-10 20:45:00;270595.0;2015_torjul_30038_2212;NKS;372.0;torjul;30038;2212
80.0;2015-07-03 00:15:00;2015-07-24 22:15:00;271638.0;2015_torjul_40003_2211;Spel;1042.0;torjul;40003;2211
81.0;2015-07-03 00:15:00;2015-07-09 20:15:00;271935.0;2015_torjul_40004_2203;Spel;296.0;torjul;40004;2203
82.0;2015-07-03 00:15:00;2015-09-06 23:45:00;275081.0;2015_torjul_40026_2228;Spel;3145.0;torjul;40026;2228
83.0;2015-07-03 00:15:00;2015-09-06 22:15:00;278093.0;2015_torjul_80172_1650;Spel;3011.0;torjul;80172;1650
84.0;2015-07-03 00:15:00;2015-09-06 23:45:00;281237.0;2015_torjul_90103_2201;NKS;3143.0;torjul;90103;2201
85.0;2016-06-18 00:15:00;2016-07-20 23:45:00;282814.0;2016_torjul_0054_2224;Spel;1576.0;torjul;54;2224
86.0;2016-06-18 00:15:00;2016-07-20 23:45:00;284314.0;2016_torjul_40089_2219;Spel;1499.0;torjul;40089;2219
87.0;2016-06-18 00:15:00;2016-07-20 23:45:00;285835.0;2016_torjul_90113_2214;Spel;1520.0;torjul;90113;2214
88.0;2016-06-18 00:15:00;2016-07-20 23:45:00;287417.0;2016_torjul_90163_1647;Spel;1581.0;torjul;90163;1647
