	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	YYYY MM DD

	2005 12 07	09:36:00		GPS Error				0	0.0	3	228	1	0	25	586	00111101	416	00000000	00000000	Init	StartE	Stopped
	2005 12 07	09:40:00		GPS Error				0	0.0	0	0	0	0	25	636	00111100	704	00000000	11111111		StartE	Stopped
	2005 12 07	09:50:00		GPS Error				0	0.0	0	0	0	0	24	638	00111100	0	00000000	00000000		StartE	Stopped
	2005 12 07	10:00:00		GPS Error				0	0.0	0	0	0	0	24	640	00111100	0	00000000	00000000		StartE	Stopped
	2005 12 07	10:06:00		Mortality										24	640	00000100	0	00000000	00000000			
	2005 12 07	10:10:00		GPS Error				0	0.0	0	0	0	0	24	640	00111100	712	00000000	11111111		StartE	Stopped
	2014 09 16	13:22:00	30	59.601570	15.198502		3D	96	0.8	11	0	0	0	25	640	01000011	0	00000001	00000000	Init		
	2014 09 16	13:30:00	30	59.601585	15.198510		3D	96	0.8	11	0	0	0	24	640	01000010	708	00000001	11111111			
	2014 09 16	13:40:00	30	59.601550	15.198512		3D	90	0.8	10	0	0	0	24	640	01000010	0	00000001	00000000			
	2014 09 23	06:32:00	37	59.601262	15.198993		3D	82	2.2	4	0	0	0	22	640	01000011	0	00000001	00000000	Init		
	2014 09 23	06:40:00	30	59.601343	15.198942		3D	87	2.2	4	0	0	0	13	641	01000010	708	00000001	11111111			
	2014 09 23	06:50:00	30	59.601252	15.199103		3D	70	2.3	4	0	0	0	9	640	01000010	0	00000001	00000000			
	2014 09 23	07:00:00	30	59.601322	15.198997		3D	80	2.4	4	0	0	0	8	640	01000010	0	00000001	00000000			
	2014 09 23	07:03:00		Mortality										7	640	00000100	0	00000001	00000000			
	2014 09 23	07:10:00	30	59.601175	15.199203		3D	81	2.4	4	0	0	0	7	637	01000010	708	00000001	11111111			
	2014 09 23	07:20:00	30	59.601233	15.199272		3D	79	2.5	4	0	0	0	7	638	01000010	0	00000001	00000000			
	2014 09 23	07:30:00	44	59.601137	15.198912		3D	46	2.9	4	0	0	0	8	637	01000010	0	00000001	00000000			
	2015 06 10	11:54:00	54	62.914078	8.185008		3D	40	1.4	5	0	0	0	23	608	01000011	0	00000001	00000000	Init		
	2015 07 02	08:39:00	65	62.984623	8.228010		3D	93	2.0	5	0	3	3	23	601	01000011	692	00000001	00000000	Init		
	2015 07 02	08:45:00	30	62.984448	8.228323		3D	110	2.0	5	0	0	0	27	624	01000010	688	00000001	11111111			
	2015 07 02	09:15:00	30	62.985175	8.225500		3D	96	2.4	4	0	20	17	30	629	01000010	0	00000001	00000000			
	2015 07 02	09:45:00	45	62.985675	8.222795		3D	113	2.0	4	0	1	2	28	627	01000010	0	00000001	00000000			
	2015 07 02	10:15:00	45	62.985688	8.222972		3D	151	1.4	5	0	5	2	27	626	01000010	0	00000001	00000000			
	2015 07 02	10:45:00	30	62.987717	8.221963		3D	232	1.3	5	0	14	6	26	626	01000010	0	00000001	00000000			
	2015 07 02	11:15:00	30	62.987907	8.220423		3D	269	1.5	4	0	0	0	26	629	01000010	692	00000001	01111111			
	2015 07 02	11:45:00	30	62.987898	8.220570		3D	248	1.3	4	0	0	0	27	630	01000010	688	00000001	01111111			
	2015 07 02	12:15:00	44	62.987215	8.214383		3D	247	1.8	5	0	24	5	26	629	01000010	700	00000001	01111111			
	2015 07 02	12:45:00	30	62.987232	8.214673		3D	329	2.5	5	0	0	0	26	630	01000010	668	00000001	01111111			
	2015 07 02	13:15:00	45	62.987358	8.215095		3D	276	1.9	4	0	2	2	27	629	01000010	672	00000001	01111111			
