	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	YYYY MM DD

	2014 06 03	14:27:00	52	62.910933	8.210912		3D	53	1.1	7	0	4	5	25	613	01000011	0	00000001	00000000	Init		
	2014 06 03	14:45:00	30	62.910930	8.210908		3D	49	1.3	6	0	0	0	26	620	01000010	0	00000001	00000000			
	2014 06 03	15:15:00	30	62.910930	8.210940		3D	50	1.8	6	0	0	0	24	620	01000010	0	00000001	00000000			
	2014 06 03	15:45:00	30	62.911932	8.209900		3D	49	2.0	5	0	19	20	21	620	01000010	0	00000001	00000000			
	2014 06 03	16:15:00	30	62.909547	8.212578		3D	67	2.2	4	0	19	12	19	619	01000010	0	00000001	00000000			
	2014 06 03	16:45:00	30	62.908510	8.210837		3D	63	1.7	4	0	19	13	19	619	01000010	0	00000001	00000000			
	2014 06 03	17:15:00	46	62.909832	8.212708		3D	35	1.5	4	0	3	3	19	617	01000010	0	00000001	00000000			
	2014 06 03	17:45:00	30	62.908880	8.211327		3D	56	1.8	4	0	4	7	19	619	01000010	0	00000001	00000000			
	2014 06 03	18:15:00	30	62.908908	8.211277		3D	67	2.2	4	0	0	0	19	619	01000010	0	00000001	00000000			
	2014 06 03	18:45:00	46	62.908897	8.210688		3D	125	1.7	4	0	39	32	18	617	01000010	0	00000001	00000000			
	2014 06 03	19:15:00	45	62.909258	8.212408		3D	64	2.9	5	0	7	3	17	617	01000010	0	00000001	00000000			
	2014 06 03	19:45:00	30	62.908613	8.211067		3D	44	2.5	5	0	0	1	15	618	01000010	0	00000001	00000000			
	2014 06 03	20:15:00	30	62.908390	8.210198		3D	53	1.4	5	0	13	14	15	617	01000010	0	00000001	00000000			
	2014 06 03	20:45:00	30	62.909247	8.212123		3D	65	1.3	5	0	8	5	14	616	01000010	0	00000001	00000000			
	2014 06 03	21:15:00	45	62.909268	8.212185		3D	73	3.8	5	0	0	0	13	616	01000010	0	00000001	00000000			
	2014 06 03	21:45:00	30	62.909228	8.212545		3D	73	2.6	5	0	0	0	14	615	01000010	0	00000001	00000000			
	2014 06 03	22:15:00	30	62.909318	8.212503		3D	84	1.8	5	0	0	0	14	616	01000010	0	00000001	00000000			
	2014 06 03	22:45:00	30	62.908978	8.211883		3D	75	6.8	4	0	19	17	12	615	01000010	0	00000001	00000000			
	2014 06 03	23:15:00	30	62.909982	8.213167		3D	81	7.8	4	0	10	4	11	615	01000010	0	00000001	00000000			
	2014 06 03	23:45:00	45	62.909808	8.213950		3D	81	11.6	4	0	22	22	12	615	01000010	0	00000001	00000000			
	2014 06 04	00:15:00	45	62.909113	8.212415		3D	66	1.6	6	0	6	8	11	615	01000010	0	00000001	00000000			
	2014 06 04	00:45:00	30	62.909853	8.212950		3D	62	1.4	6	0	15	12	12	615	01000010	0	00000001	00000000			
	2014 06 04	01:15:00	30	62.908300	8.210648		3D	65	1.3	6	0	14	18	11	615	01000010	0	00000001	00000000			
	2014 06 04	01:45:00	30	62.909083	8.211942		3D	63	2.3	4	0	0	0	13	616	01000010	0	00000001	00000000			
	2014 06 04	02:15:00	30	62.909167	8.211990		3D	61	2.2	4	0	19	17	14	617	01000010	0	00000001	00000000			
	2014 06 04	02:45:00	63	62.909183	8.212083		3D	64	1.5	5	0	4	2	14	615	01000010	0	00000001	00000000			
	2014 06 04	03:15:00	30	62.908458	8.210548		3D	60	1.4	5	0	18	11	14	617	01000010	0	00000001	00000000			
	2014 06 04	03:45:00	40	62.908430	8.210307		3D	63	1.7	4	0	25	15	12	616	01000010	0	00000001	00000000			
	2014 06 04	04:15:00	45	62.909770	8.213062		3D	72	4.3	4	0	19	16	12	615	01000010	0	00000001	00000000			
	2014 06 04	04:45:00	30	62.909347	8.212393		3D	61	3.2	4	0	1	0	14	618	01000010	0	00000001	00000000			
	2014 06 04	05:15:00	30	62.907848	8.209935		3D	68	4.5	4	0	17	16	14	619	01000010	0	00000001	00000000			
	2014 06 04	05:45:00	45	62.909333	8.211785		3D	76	1.2	6	0	13	16	15	617	01000010	0	00000001	00000000			
	2014 06 04	06:15:00	30	62.909405	8.212295		3D	69	1.6	5	0	11	5	15	619	01000010	0	00000001	00000000			
	2014 06 04	06:45:00	44	62.909400	8.212360		3D	68	1.5	7	0	2	2	19	618	01000010	0	00000001	00000000			
	2014 06 04	07:15:00	30	62.909305	8.212350		3D	60	1.6	5	0	0	0	21	621	01000010	0	00000001	00000000			
	2014 06 04	07:45:00	30	62.908657	8.211420		3D	78	2.2	5	0	8	2	20	621	01000010	0	00000001	00000000			
