	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	YYYY MM DD

	2012 06 08	07:52:00	85	62.914005	8.185153		3D	50	1.7	6	1	2	6	20	560	01000011	172	01111111	00000000	Init		
	2012 06 08	08:14:00	65	62.910992	8.210930		3D	7	2.3	5	1	3	5	18	569	01000011	704	01111111	00000000	Init		
	2012 06 08	10:00:00	72	62.910828	8.211053		3D	30	1.7	4	0	14	10	13	608	01000010	712	00001111	11111111			
	2012 06 08	12:00:00		Time Out								14	20	18	611	00001000	0	00001111	00000000			
	2012 06 08	14:00:00	91	62.913050	8.210478		3D	0	10.9	4	3	36	17	20	611	01000010	0	00001111	00000000			
	2012 06 08	16:00:00	63	62.912095	8.223740		2D	0	8.6	3	0	19	8	18	611	10001010	0	00001111	00000000			
	2012 06 08	18:00:00		Time Out								15	4	16	609	00001000	0	00001111	00000000			
	2012 06 08	20:00:00	72	62.901972	8.227210		3D	0	12.1	4	3	2	1	13	608	01000010	712	00001111	11111111			
	2012 06 08	22:00:00	59	62.906217	8.227385		3D	373	3.0	4	1	0	0	9	604	01000010	0	00001111	00000000			
	2012 06 09	00:00:00		Time Out								47	17	8	602	00001000	0	00001111	00000000			
	2012 06 09	02:00:00	86	62.903920	8.222997		3D	372	1.6	4	7	21	5	7	602	01001010	0	00001111	00000000			
	2012 06 09	04:00:00	94	62.905125	8.225847		2D	0	4.6	3	0	0	0	11	605	10001010	0	00001111	00000000			
	2012 06 09	06:00:00	71	62.906823	8.226343		3D	373	2.3	5	3	15	6	10	604	01000010	712	00001111	11111111			
	2012 06 09	08:00:00	55	62.910367	8.242758		3D	379	1.9	4	0	15	8	13	608	01000010	0	00001111	00000000			
	2012 06 09	10:00:00	71	62.910100	8.242290		3D	382	3.1	5	8	4	2	14	607	01000010	0	00001111	00000000			
	2012 06 09	12:00:00	46	62.910593	8.246672		3D	382	1.9	4	0	0	1	18	611	01000010	0	00001111	00000000			
	2012 06 09	14:00:00	81	62.910377	8.244330		3D	395	2.7	4	6	27	6	19	611	01000010	0	00001111	00000000			
	2012 06 09	16:00:00	99	62.900355	8.222743		2D	0	7.9	3	0	8	7	19	610	10001010	712	00001111	11111111			
	2012 06 09	18:00:00	71	62.900465	8.224567		3D	376	1.4	6	5	0	0	19	611	01000010	0	00001111	00000000			
	2012 06 09	20:00:00		Time Out								28	17	14	608	00001000	0	00001111	00000000			
