Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Sunndalsøra Iii;SN63420;05.06.2012 04:00;8
Sunndalsøra Iii;SN63420;05.06.2012 05:00;8
Sunndalsøra Iii;SN63420;05.06.2012 06:00;7,8
Sunndalsøra Iii;SN63420;05.06.2012 07:00;8
Sunndalsøra Iii;SN63420;05.06.2012 08:00;8,2
Sunndalsøra Iii;SN63420;05.06.2012 09:00;9
Sunndalsøra Iii;SN63420;05.06.2012 10:00;9,3
Sunndalsøra Iii;SN63420;05.06.2012 11:00;10,5
Sunndalsøra Iii;SN63420;05.06.2012 12:00;13,9
Sunndalsøra Iii;SN63420;05.06.2012 13:00;13,4
Sunndalsøra Iii;SN63420;05.06.2012 14:00;12,8
Sunndalsøra Iii;SN63420;05.06.2012 15:00;12,8
Sunndalsøra Iii;SN63420;05.06.2012 16:00;10,7
Sunndalsøra Iii;SN63420;05.06.2012 17:00;9,9
Sunndalsøra Iii;SN63420;05.06.2012 18:00;9,9
Sunndalsøra Iii;SN63420;05.06.2012 19:00;11,3
Sunndalsøra Iii;SN63420;05.06.2012 20:00;11
Sunndalsøra Iii;SN63420;05.06.2012 21:00;10,5
Sunndalsøra Iii;SN63420;05.06.2012 22:00;10,1
Sunndalsøra Iii;SN63420;05.06.2012 23:00;10,2
Sunndalsøra Iii;SN63420;06.06.2012 00:00;9,6
Sunndalsøra Iii;SN63420;06.06.2012 01:00;9,3
Sunndalsøra Iii;SN63420;06.06.2012 02:00;9,2
Sunndalsøra Iii;SN63420;06.06.2012 03:00;8,4
Sunndalsøra Iii;SN63420;06.06.2012 04:00;7,9
Sunndalsøra Iii;SN63420;06.06.2012 05:00;8,3
Sunndalsøra Iii;SN63420;06.06.2012 06:00;8,3
Sunndalsøra Iii;SN63420;06.06.2012 07:00;8,6
Sunndalsøra Iii;SN63420;06.06.2012 08:00;9
Sunndalsøra Iii;SN63420;06.06.2012 09:00;9,9
Sunndalsøra Iii;SN63420;06.06.2012 10:00;10,6
Sunndalsøra Iii;SN63420;06.06.2012 11:00;10,9
Sunndalsøra Iii;SN63420;06.06.2012 12:00;11,6
Sunndalsøra Iii;SN63420;06.06.2012 13:00;12,8
Sunndalsøra Iii;SN63420;06.06.2012 14:00;12,9
Sunndalsøra Iii;SN63420;06.06.2012 15:00;13,4
Sunndalsøra Iii;SN63420;06.06.2012 16:00;14,3
Sunndalsøra Iii;SN63420;06.06.2012 17:00;15,2
Sunndalsøra Iii;SN63420;06.06.2012 18:00;15,1
Sunndalsøra Iii;SN63420;06.06.2012 19:00;14,5
Sunndalsøra Iii;SN63420;06.06.2012 20:00;13,2
Sunndalsøra Iii;SN63420;06.06.2012 21:00;12
Sunndalsøra Iii;SN63420;06.06.2012 22:00;11
Sunndalsøra Iii;SN63420;06.06.2012 23:00;9,7
Sunndalsøra Iii;SN63420;07.06.2012 00:00;8,5
Sunndalsøra Iii;SN63420;07.06.2012 01:00;7,6
Sunndalsøra Iii;SN63420;07.06.2012 02:00;6,7
Sunndalsøra Iii;SN63420;07.06.2012 03:00;8,1
Sunndalsøra Iii;SN63420;07.06.2012 04:00;8
Sunndalsøra Iii;SN63420;07.06.2012 05:00;7,7
Sunndalsøra Iii;SN63420;07.06.2012 06:00;7,7
Sunndalsøra Iii;SN63420;07.06.2012 07:00;8,5
Sunndalsøra Iii;SN63420;07.06.2012 08:00;13,5
Sunndalsøra Iii;SN63420;07.06.2012 09:00;14,3
Sunndalsøra Iii;SN63420;07.06.2012 10:00;14,9
Sunndalsøra Iii;SN63420;07.06.2012 11:00;15,7
Sunndalsøra Iii;SN63420;07.06.2012 12:00;16,5
Sunndalsøra Iii;SN63420;07.06.2012 13:00;18
Sunndalsøra Iii;SN63420;07.06.2012 14:00;18,3
Sunndalsøra Iii;SN63420;07.06.2012 15:00;18,3
Sunndalsøra Iii;SN63420;07.06.2012 16:00;18,6
Sunndalsøra Iii;SN63420;07.06.2012 17:00;18,2
Sunndalsøra Iii;SN63420;07.06.2012 18:00;17,6
Sunndalsøra Iii;SN63420;07.06.2012 19:00;17,1
Sunndalsøra Iii;SN63420;07.06.2012 20:00;15,5
Sunndalsøra Iii;SN63420;07.06.2012 21:00;13,8
Sunndalsøra Iii;SN63420;07.06.2012 22:00;13,4
Sunndalsøra Iii;SN63420;07.06.2012 23:00;12,4
Sunndalsøra Iii;SN63420;08.06.2012 00:00;11,5
Sunndalsøra Iii;SN63420;08.06.2012 01:00;10,7
Sunndalsøra Iii;SN63420;08.06.2012 02:00;8,4
Sunndalsøra Iii;SN63420;08.06.2012 03:00;8,8
Sunndalsøra Iii;SN63420;08.06.2012 04:00;8,9
Sunndalsøra Iii;SN63420;08.06.2012 05:00;9,4
Sunndalsøra Iii;SN63420;08.06.2012 06:00;9,5
Sunndalsøra Iii;SN63420;08.06.2012 07:00;9,7
