,Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
853,Sunndalsøra Iii,SN63420,2012-06-18 19:45:00,9.8
854,Sunndalsøra Iii,SN63420,2012-06-18 20:15:00,9.6
855,Sunndalsøra Iii,SN63420,2012-06-18 20:45:00,9.4
856,Sunndalsøra Iii,SN63420,2012-06-18 21:15:00,9.3
857,Sunndalsøra Iii,SN63420,2012-06-18 21:45:00,9.2
858,Sunndalsøra Iii,SN63420,2012-06-18 22:15:00,9.2
859,Sunndalsøra Iii,SN63420,2012-06-18 22:45:00,9.2
860,Sunndalsøra Iii,SN63420,2012-06-18 23:15:00,9.2
861,Sunndalsøra Iii,SN63420,2012-06-18 23:45:00,9.2
862,Sunndalsøra Iii,SN63420,2012-06-19 00:15:00,9.2
863,Sunndalsøra Iii,SN63420,2012-06-19 00:45:00,9.1
864,Sunndalsøra Iii,SN63420,2012-06-19 01:15:00,8.9
865,Sunndalsøra Iii,SN63420,2012-06-19 01:45:00,8.9
866,Sunndalsøra Iii,SN63420,2012-06-19 02:15:00,8.9
867,Sunndalsøra Iii,SN63420,2012-06-19 02:45:00,8.9
868,Sunndalsøra Iii,SN63420,2012-06-19 03:15:00,8.9
869,Sunndalsøra Iii,SN63420,2012-06-19 03:45:00,9.1
870,Sunndalsøra Iii,SN63420,2012-06-19 04:15:00,9.3
871,Sunndalsøra Iii,SN63420,2012-06-19 04:45:00,9.4
872,Sunndalsøra Iii,SN63420,2012-06-19 05:15:00,9.6
873,Sunndalsøra Iii,SN63420,2012-06-19 05:45:00,9.6
874,Sunndalsøra Iii,SN63420,2012-06-19 06:15:00,9.7
875,Sunndalsøra Iii,SN63420,2012-06-19 06:45:00,9.3
876,Sunndalsøra Iii,SN63420,2012-06-19 07:15:00,9
877,Sunndalsøra Iii,SN63420,2012-06-19 07:45:00,9.6
878,Sunndalsøra Iii,SN63420,2012-06-19 08:15:00,10.1
879,Sunndalsøra Iii,SN63420,2012-06-19 08:45:00,10.5
880,Sunndalsøra Iii,SN63420,2012-06-19 09:15:00,10.9
881,Sunndalsøra Iii,SN63420,2012-06-19 09:45:00,10.7
882,Sunndalsøra Iii,SN63420,2012-06-19 10:15:00,10.5
883,Sunndalsøra Iii,SN63420,2012-06-19 10:45:00,11.2
884,Sunndalsøra Iii,SN63420,2012-06-19 11:15:00,12
885,Sunndalsøra Iii,SN63420,2012-06-19 11:45:00,11.7
886,Sunndalsøra Iii,SN63420,2012-06-19 12:15:00,11.3
887,Sunndalsøra Iii,SN63420,2012-06-19 12:45:00,12.2
888,Sunndalsøra Iii,SN63420,2012-06-19 13:15:00,13.1
889,Sunndalsøra Iii,SN63420,2012-06-19 13:45:00,13.0
890,Sunndalsøra Iii,SN63420,2012-06-19 14:15:00,12.9
891,Sunndalsøra Iii,SN63420,2012-06-19 14:45:00,13.2
892,Sunndalsøra Iii,SN63420,2012-06-19 15:15:00,13.4
893,Sunndalsøra Iii,SN63420,2012-06-19 15:45:00,13.2
894,Sunndalsøra Iii,SN63420,2012-06-19 16:15:00,12.9
895,Sunndalsøra Iii,SN63420,2012-06-19 16:45:00,13.1
896,Sunndalsøra Iii,SN63420,2012-06-19 17:15:00,13.2
897,Sunndalsøra Iii,SN63420,2012-06-19 17:45:00,13.6
898,Sunndalsøra Iii,SN63420,2012-06-19 18:15:00,14
899,Sunndalsøra Iii,SN63420,2012-06-19 18:45:00,13.8
900,Sunndalsøra Iii,SN63420,2012-06-19 19:15:00,13.5
901,Sunndalsøra Iii,SN63420,2012-06-19 19:45:00,13.0
902,Sunndalsøra Iii,SN63420,2012-06-19 20:15:00,12.5
903,Sunndalsøra Iii,SN63420,2012-06-19 20:45:00,12.4
904,Sunndalsøra Iii,SN63420,2012-06-19 21:15:00,12.4
905,Sunndalsøra Iii,SN63420,2012-06-19 21:45:00,11.9
906,Sunndalsøra Iii,SN63420,2012-06-19 22:15:00,11.3
907,Sunndalsøra Iii,SN63420,2012-06-19 22:45:00,10.8
908,Sunndalsøra Iii,SN63420,2012-06-19 23:15:00,10.2
909,Sunndalsøra Iii,SN63420,2012-06-19 23:45:00,9.7
910,Sunndalsøra Iii,SN63420,2012-06-20 00:15:00,9.2
911,Sunndalsøra Iii,SN63420,2012-06-20 00:45:00,8.2
912,Sunndalsøra Iii,SN63420,2012-06-20 01:15:00,7.2
913,Sunndalsøra Iii,SN63420,2012-06-20 01:45:00,7.1
914,Sunndalsøra Iii,SN63420,2012-06-20 02:15:00,7
915,Sunndalsøra Iii,SN63420,2012-06-20 02:45:00,7.1
916,Sunndalsøra Iii,SN63420,2012-06-20 03:15:00,7.2
917,Sunndalsøra Iii,SN63420,2012-06-20 03:45:00,7.2
918,Sunndalsøra Iii,SN63420,2012-06-20 04:15:00,7.3
919,Sunndalsøra Iii,SN63420,2012-06-20 04:45:00,7.5
920,Sunndalsøra Iii,SN63420,2012-06-20 05:15:00,7.7
921,Sunndalsøra Iii,SN63420,2012-06-20 05:45:00,7.9
922,Sunndalsøra Iii,SN63420,2012-06-20 06:15:00,8.2
923,Sunndalsøra Iii,SN63420,2012-06-20 06:45:00,8.8
924,Sunndalsøra Iii,SN63420,2012-06-20 07:15:00,9.4
925,Sunndalsøra Iii,SN63420,2012-06-20 07:45:00,9.7
926,Sunndalsøra Iii,SN63420,2012-06-20 08:15:00,10
927,Sunndalsøra Iii,SN63420,2012-06-20 08:45:00,10.4
928,Sunndalsøra Iii,SN63420,2012-06-20 09:15:00,10.8
929,Sunndalsøra Iii,SN63420,2012-06-20 09:45:00,11.6
930,Sunndalsøra Iii,SN63420,2012-06-20 10:15:00,12.3
931,Sunndalsøra Iii,SN63420,2012-06-20 10:45:00,13.4
932,Sunndalsøra Iii,SN63420,2012-06-20 11:15:00,14.5
933,Sunndalsøra Iii,SN63420,2012-06-20 11:45:00,13.4
934,Sunndalsøra Iii,SN63420,2012-06-20 12:15:00,12.3
935,Sunndalsøra Iii,SN63420,2012-06-20 12:45:00,13.2
936,Sunndalsøra Iii,SN63420,2012-06-20 13:15:00,14.2
937,Sunndalsøra Iii,SN63420,2012-06-20 13:45:00,14.1
938,Sunndalsøra Iii,SN63420,2012-06-20 14:15:00,13.9
939,Sunndalsøra Iii,SN63420,2012-06-20 14:45:00,14.7
940,Sunndalsøra Iii,SN63420,2012-06-20 15:15:00,15.4
941,Sunndalsøra Iii,SN63420,2012-06-20 15:45:00,14.4
942,Sunndalsøra Iii,SN63420,2012-06-20 16:15:00,13.5
943,Sunndalsøra Iii,SN63420,2012-06-20 16:45:00,13.2
944,Sunndalsøra Iii,SN63420,2012-06-20 17:15:00,12.8
945,Sunndalsøra Iii,SN63420,2012-06-20 17:45:00,12.7
946,Sunndalsøra Iii,SN63420,2012-06-20 18:15:00,12.6
947,Sunndalsøra Iii,SN63420,2012-06-20 18:45:00,12.1
948,Sunndalsøra Iii,SN63420,2012-06-20 19:15:00,11.7
949,Sunndalsøra Iii,SN63420,2012-06-20 19:45:00,11.8
950,Sunndalsøra Iii,SN63420,2012-06-20 20:15:00,11.9
951,Sunndalsøra Iii,SN63420,2012-06-20 20:45:00,11.4
952,Sunndalsøra Iii,SN63420,2012-06-20 21:15:00,10.9
953,Sunndalsøra Iii,SN63420,2012-06-20 21:45:00,10.4
954,Sunndalsøra Iii,SN63420,2012-06-20 22:15:00,10
955,Sunndalsøra Iii,SN63420,2012-06-20 22:45:00,9.8
956,Sunndalsøra Iii,SN63420,2012-06-20 23:15:00,9.7
957,Sunndalsøra Iii,SN63420,2012-06-20 23:45:00,9.7
958,Sunndalsøra Iii,SN63420,2012-06-21 00:15:00,9.7
959,Sunndalsøra Iii,SN63420,2012-06-21 00:45:00,9.6
960,Sunndalsøra Iii,SN63420,2012-06-21 01:15:00,9.4
961,Sunndalsøra Iii,SN63420,2012-06-21 01:45:00,9.3
962,Sunndalsøra Iii,SN63420,2012-06-21 02:15:00,9.2
963,Sunndalsøra Iii,SN63420,2012-06-21 02:45:00,8.8
964,Sunndalsøra Iii,SN63420,2012-06-21 03:15:00,8.3
965,Sunndalsøra Iii,SN63420,2012-06-21 03:45:00,8.4
966,Sunndalsøra Iii,SN63420,2012-06-21 04:15:00,8.4
967,Sunndalsøra Iii,SN63420,2012-06-21 04:45:00,8.3
968,Sunndalsøra Iii,SN63420,2012-06-21 05:15:00,8.2
969,Sunndalsøra Iii,SN63420,2012-06-21 05:45:00,8.4
970,Sunndalsøra Iii,SN63420,2012-06-21 06:15:00,8.6
971,Sunndalsøra Iii,SN63420,2012-06-21 06:45:00,8.7
972,Sunndalsøra Iii,SN63420,2012-06-21 07:15:00,8.8
973,Sunndalsøra Iii,SN63420,2012-06-21 07:45:00,10.1
974,Sunndalsøra Iii,SN63420,2012-06-21 08:15:00,11.4
975,Sunndalsøra Iii,SN63420,2012-06-21 08:45:00,11.7
976,Sunndalsøra Iii,SN63420,2012-06-21 09:15:00,12
977,Sunndalsøra Iii,SN63420,2012-06-21 09:45:00,12.4
978,Sunndalsøra Iii,SN63420,2012-06-21 10:15:00,12.8
979,Sunndalsøra Iii,SN63420,2012-06-21 10:45:00,13.1
980,Sunndalsøra Iii,SN63420,2012-06-21 11:15:00,13.3
981,Sunndalsøra Iii,SN63420,2012-06-21 11:45:00,13.9
982,Sunndalsøra Iii,SN63420,2012-06-21 12:15:00,14.6
983,Sunndalsøra Iii,SN63420,2012-06-21 12:45:00,15.1
984,Sunndalsøra Iii,SN63420,2012-06-21 13:15:00,15.7
985,Sunndalsøra Iii,SN63420,2012-06-21 13:45:00,16.2
986,Sunndalsøra Iii,SN63420,2012-06-21 14:15:00,16.7
987,Sunndalsøra Iii,SN63420,2012-06-21 14:45:00,16.9
988,Sunndalsøra Iii,SN63420,2012-06-21 15:15:00,17.1
989,Sunndalsøra Iii,SN63420,2012-06-21 15:45:00,17.6
990,Sunndalsøra Iii,SN63420,2012-06-21 16:15:00,18.2
991,Sunndalsøra Iii,SN63420,2012-06-21 16:45:00,18.4
992,Sunndalsøra Iii,SN63420,2012-06-21 17:15:00,18.5
993,Sunndalsøra Iii,SN63420,2012-06-21 17:45:00,18.4
994,Sunndalsøra Iii,SN63420,2012-06-21 18:15:00,18.4
995,Sunndalsøra Iii,SN63420,2012-06-21 18:45:00,18.3
996,Sunndalsøra Iii,SN63420,2012-06-21 19:15:00,18.2
997,Sunndalsøra Iii,SN63420,2012-06-21 19:45:00,17.4
998,Sunndalsøra Iii,SN63420,2012-06-21 20:15:00,16.6
999,Sunndalsøra Iii,SN63420,2012-06-21 20:45:00,15.6
1000,Sunndalsøra Iii,SN63420,2012-06-21 21:15:00,14.5
1001,Sunndalsøra Iii,SN63420,2012-06-21 21:45:00,14.0
1002,Sunndalsøra Iii,SN63420,2012-06-21 22:15:00,13.5
1003,Sunndalsøra Iii,SN63420,2012-06-21 22:45:00,12.8
1004,Sunndalsøra Iii,SN63420,2012-06-21 23:15:00,12.2
1005,Sunndalsøra Iii,SN63420,2012-06-21 23:45:00,12.2
1006,Sunndalsøra Iii,SN63420,2012-06-22 00:15:00,12.3
1007,Sunndalsøra Iii,SN63420,2012-06-22 00:45:00,13.1
1008,Sunndalsøra Iii,SN63420,2012-06-22 01:15:00,13.9
1009,Sunndalsøra Iii,SN63420,2012-06-22 01:45:00,14.0
1010,Sunndalsøra Iii,SN63420,2012-06-22 02:15:00,14.1
1011,Sunndalsøra Iii,SN63420,2012-06-22 02:45:00,13.9
1012,Sunndalsøra Iii,SN63420,2012-06-22 03:15:00,13.7
1013,Sunndalsøra Iii,SN63420,2012-06-22 03:45:00,13.6
1014,Sunndalsøra Iii,SN63420,2012-06-22 04:15:00,13.4
1015,Sunndalsøra Iii,SN63420,2012-06-22 04:45:00,13.2
1016,Sunndalsøra Iii,SN63420,2012-06-22 05:15:00,13.1
1017,Sunndalsøra Iii,SN63420,2012-06-22 05:45:00,13.2
1018,Sunndalsøra Iii,SN63420,2012-06-22 06:15:00,13.3
1019,Sunndalsøra Iii,SN63420,2012-06-22 06:45:00,13.4
1020,Sunndalsøra Iii,SN63420,2012-06-22 07:15:00,13.6
1021,Sunndalsøra Iii,SN63420,2012-06-22 07:45:00,15.6
1022,Sunndalsøra Iii,SN63420,2012-06-22 08:15:00,17.6
1023,Sunndalsøra Iii,SN63420,2012-06-22 08:45:00,19.1
1024,Sunndalsøra Iii,SN63420,2012-06-22 09:15:00,20.5
1025,Sunndalsøra Iii,SN63420,2012-06-22 09:45:00,21.6
1026,Sunndalsøra Iii,SN63420,2012-06-22 10:15:00,22.8
1027,Sunndalsøra Iii,SN63420,2012-06-22 10:45:00,23.1
1028,Sunndalsøra Iii,SN63420,2012-06-22 11:15:00,23.4
1029,Sunndalsøra Iii,SN63420,2012-06-22 11:45:00,23.4
1030,Sunndalsøra Iii,SN63420,2012-06-22 12:15:00,23.3
1031,Sunndalsøra Iii,SN63420,2012-06-22 12:45:00,23.0
1032,Sunndalsøra Iii,SN63420,2012-06-22 13:15:00,22.6
1033,Sunndalsøra Iii,SN63420,2012-06-22 13:45:00,22.9
1034,Sunndalsøra Iii,SN63420,2012-06-22 14:15:00,23.2
1035,Sunndalsøra Iii,SN63420,2012-06-22 14:45:00,23.0
1036,Sunndalsøra Iii,SN63420,2012-06-22 15:15:00,22.8
1037,Sunndalsøra Iii,SN63420,2012-06-22 15:45:00,22.9
1038,Sunndalsøra Iii,SN63420,2012-06-22 16:15:00,23
1039,Sunndalsøra Iii,SN63420,2012-06-22 16:45:00,22.9
1040,Sunndalsøra Iii,SN63420,2012-06-22 17:15:00,22.7
1041,Sunndalsøra Iii,SN63420,2012-06-22 17:45:00,22.5
1042,Sunndalsøra Iii,SN63420,2012-06-22 18:15:00,22.3
1043,Sunndalsøra Iii,SN63420,2012-06-22 18:45:00,22.0
1044,Sunndalsøra Iii,SN63420,2012-06-22 19:15:00,21.6
1045,Sunndalsøra Iii,SN63420,2012-06-22 19:45:00,21.5
1046,Sunndalsøra Iii,SN63420,2012-06-22 20:15:00,21.3
1047,Sunndalsøra Iii,SN63420,2012-06-22 20:45:00,20.6
1048,Sunndalsøra Iii,SN63420,2012-06-22 21:15:00,19.9
1049,Sunndalsøra Iii,SN63420,2012-06-22 21:45:00,19.5
1050,Sunndalsøra Iii,SN63420,2012-06-22 22:15:00,19.1
1051,Sunndalsøra Iii,SN63420,2012-06-22 22:45:00,19.2
1052,Sunndalsøra Iii,SN63420,2012-06-22 23:15:00,19.3
1053,Sunndalsøra Iii,SN63420,2012-06-22 23:45:00,19.1
1054,Sunndalsøra Iii,SN63420,2012-06-23 00:15:00,18.8
1055,Sunndalsøra Iii,SN63420,2012-06-23 00:45:00,18.6
1056,Sunndalsøra Iii,SN63420,2012-06-23 01:15:00,18.3
1057,Sunndalsøra Iii,SN63420,2012-06-23 01:45:00,17.4
1058,Sunndalsøra Iii,SN63420,2012-06-23 02:15:00,16.5
1059,Sunndalsøra Iii,SN63420,2012-06-23 02:45:00,15.6
1060,Sunndalsøra Iii,SN63420,2012-06-23 03:15:00,14.6
1061,Sunndalsøra Iii,SN63420,2012-06-23 03:45:00,14.8
1062,Sunndalsøra Iii,SN63420,2012-06-23 04:15:00,14.9
1063,Sunndalsøra Iii,SN63420,2012-06-23 04:45:00,14.9
1064,Sunndalsøra Iii,SN63420,2012-06-23 05:15:00,14.9
1065,Sunndalsøra Iii,SN63420,2012-06-23 05:45:00,15.5
1066,Sunndalsøra Iii,SN63420,2012-06-23 06:15:00,16.1
1067,Sunndalsøra Iii,SN63420,2012-06-23 06:45:00,17.1
1068,Sunndalsøra Iii,SN63420,2012-06-23 07:15:00,18
1069,Sunndalsøra Iii,SN63420,2012-06-23 07:45:00,18.5
1070,Sunndalsøra Iii,SN63420,2012-06-23 08:15:00,19
1071,Sunndalsøra Iii,SN63420,2012-06-23 08:45:00,18.8
1072,Sunndalsøra Iii,SN63420,2012-06-23 09:15:00,18.6
1073,Sunndalsøra Iii,SN63420,2012-06-23 09:45:00,18.6
1074,Sunndalsøra Iii,SN63420,2012-06-23 10:15:00,18.6
1075,Sunndalsøra Iii,SN63420,2012-06-23 10:45:00,19.2
1076,Sunndalsøra Iii,SN63420,2012-06-23 11:15:00,19.8
1077,Sunndalsøra Iii,SN63420,2012-06-23 11:45:00,20.1
1078,Sunndalsøra Iii,SN63420,2012-06-23 12:15:00,20.4
1079,Sunndalsøra Iii,SN63420,2012-06-23 12:45:00,20.5
1080,Sunndalsøra Iii,SN63420,2012-06-23 13:15:00,20.7
1081,Sunndalsøra Iii,SN63420,2012-06-23 13:45:00,20.3
1082,Sunndalsøra Iii,SN63420,2012-06-23 14:15:00,19.9
1083,Sunndalsøra Iii,SN63420,2012-06-23 14:45:00,20.1
1084,Sunndalsøra Iii,SN63420,2012-06-23 15:15:00,20.3
1085,Sunndalsøra Iii,SN63420,2012-06-23 15:45:00,20.8
1086,Sunndalsøra Iii,SN63420,2012-06-23 16:15:00,21.3
1087,Sunndalsøra Iii,SN63420,2012-06-23 16:45:00,20.6
1088,Sunndalsøra Iii,SN63420,2012-06-23 17:15:00,20
1089,Sunndalsøra Iii,SN63420,2012-06-23 17:45:00,19.6
1090,Sunndalsøra Iii,SN63420,2012-06-23 18:15:00,19.3
1091,Sunndalsøra Iii,SN63420,2012-06-23 18:45:00,19.4
1092,Sunndalsøra Iii,SN63420,2012-06-23 19:15:00,19.5
1093,Sunndalsøra Iii,SN63420,2012-06-23 19:45:00,19.3
1094,Sunndalsøra Iii,SN63420,2012-06-23 20:15:00,19.1
1095,Sunndalsøra Iii,SN63420,2012-06-23 20:45:00,18.4
1096,Sunndalsøra Iii,SN63420,2012-06-23 21:15:00,17.7
1097,Sunndalsøra Iii,SN63420,2012-06-23 21:45:00,17.4
1098,Sunndalsøra Iii,SN63420,2012-06-23 22:15:00,17.2
1099,Sunndalsøra Iii,SN63420,2012-06-23 22:45:00,17.1
1100,Sunndalsøra Iii,SN63420,2012-06-23 23:15:00,17
1101,Sunndalsøra Iii,SN63420,2012-06-23 23:45:00,17.1
1102,Sunndalsøra Iii,SN63420,2012-06-24 00:15:00,17.1
1103,Sunndalsøra Iii,SN63420,2012-06-24 00:45:00,16.8
1104,Sunndalsøra Iii,SN63420,2012-06-24 01:15:00,16.5
1105,Sunndalsøra Iii,SN63420,2012-06-24 01:45:00,16.2
1106,Sunndalsøra Iii,SN63420,2012-06-24 02:15:00,16
1107,Sunndalsøra Iii,SN63420,2012-06-24 02:45:00,15.9
1108,Sunndalsøra Iii,SN63420,2012-06-24 03:15:00,15.8
1109,Sunndalsøra Iii,SN63420,2012-06-24 03:45:00,15.6
1110,Sunndalsøra Iii,SN63420,2012-06-24 04:15:00,15.4
1111,Sunndalsøra Iii,SN63420,2012-06-24 04:45:00,14.8
1112,Sunndalsøra Iii,SN63420,2012-06-24 05:15:00,14.2
1113,Sunndalsøra Iii,SN63420,2012-06-24 05:45:00,14.2
1114,Sunndalsøra Iii,SN63420,2012-06-24 06:15:00,14.3
1115,Sunndalsøra Iii,SN63420,2012-06-24 06:45:00,14.9
1116,Sunndalsøra Iii,SN63420,2012-06-24 07:15:00,15.6
1117,Sunndalsøra Iii,SN63420,2012-06-24 07:45:00,16.5
1118,Sunndalsøra Iii,SN63420,2012-06-24 08:15:00,17.4
1119,Sunndalsøra Iii,SN63420,2012-06-24 08:45:00,17.9
1120,Sunndalsøra Iii,SN63420,2012-06-24 09:15:00,18.4
1121,Sunndalsøra Iii,SN63420,2012-06-24 09:45:00,19.5
1122,Sunndalsøra Iii,SN63420,2012-06-24 10:15:00,20.6
1123,Sunndalsøra Iii,SN63420,2012-06-24 10:45:00,20.9
1124,Sunndalsøra Iii,SN63420,2012-06-24 11:15:00,21.2
1125,Sunndalsøra Iii,SN63420,2012-06-24 11:45:00,21.1
1126,Sunndalsøra Iii,SN63420,2012-06-24 12:15:00,21.1
1127,Sunndalsøra Iii,SN63420,2012-06-24 12:45:00,21.1
1128,Sunndalsøra Iii,SN63420,2012-06-24 13:15:00,21.2
1129,Sunndalsøra Iii,SN63420,2012-06-24 13:45:00,20.9
1130,Sunndalsøra Iii,SN63420,2012-06-24 14:15:00,20.5
1131,Sunndalsøra Iii,SN63420,2012-06-24 14:45:00,21.1
1132,Sunndalsøra Iii,SN63420,2012-06-24 15:15:00,21.7
1133,Sunndalsøra Iii,SN63420,2012-06-24 15:45:00,21.7
1134,Sunndalsøra Iii,SN63420,2012-06-24 16:15:00,21.7
1135,Sunndalsøra Iii,SN63420,2012-06-24 16:45:00,20.9
1136,Sunndalsøra Iii,SN63420,2012-06-24 17:15:00,20
1137,Sunndalsøra Iii,SN63420,2012-06-24 17:45:00,19.8
1138,Sunndalsøra Iii,SN63420,2012-06-24 18:15:00,19.5
1139,Sunndalsøra Iii,SN63420,2012-06-24 18:45:00,19.1
1140,Sunndalsøra Iii,SN63420,2012-06-24 19:15:00,18.8
1141,Sunndalsøra Iii,SN63420,2012-06-24 19:45:00,18.6
1142,Sunndalsøra Iii,SN63420,2012-06-24 20:15:00,18.4
1143,Sunndalsøra Iii,SN63420,2012-06-24 20:45:00,17.8
1144,Sunndalsøra Iii,SN63420,2012-06-24 21:15:00,17.2
1145,Sunndalsøra Iii,SN63420,2012-06-24 21:45:00,15.8
1146,Sunndalsøra Iii,SN63420,2012-06-24 22:15:00,14.5
1147,Sunndalsøra Iii,SN63420,2012-06-24 22:45:00,13.8
1148,Sunndalsøra Iii,SN63420,2012-06-24 23:15:00,13
1149,Sunndalsøra Iii,SN63420,2012-06-24 23:45:00,12.9
1150,Sunndalsøra Iii,SN63420,2012-06-25 00:15:00,12.8
1151,Sunndalsøra Iii,SN63420,2012-06-25 00:45:00,12.6
1152,Sunndalsøra Iii,SN63420,2012-06-25 01:15:00,12.3
1153,Sunndalsøra Iii,SN63420,2012-06-25 01:45:00,11.9
1154,Sunndalsøra Iii,SN63420,2012-06-25 02:15:00,11.5
1155,Sunndalsøra Iii,SN63420,2012-06-25 02:45:00,11.3
1156,Sunndalsøra Iii,SN63420,2012-06-25 03:15:00,11.2
1157,Sunndalsøra Iii,SN63420,2012-06-25 03:45:00,11.2
1158,Sunndalsøra Iii,SN63420,2012-06-25 04:15:00,11.2
1159,Sunndalsøra Iii,SN63420,2012-06-25 04:45:00,11.3
1160,Sunndalsøra Iii,SN63420,2012-06-25 05:15:00,11.5
1161,Sunndalsøra Iii,SN63420,2012-06-25 05:45:00,11.8
1162,Sunndalsøra Iii,SN63420,2012-06-25 06:15:00,12
1163,Sunndalsøra Iii,SN63420,2012-06-25 06:45:00,12.3
1164,Sunndalsøra Iii,SN63420,2012-06-25 07:15:00,12.6
1165,Sunndalsøra Iii,SN63420,2012-06-25 07:45:00,13.1
1166,Sunndalsøra Iii,SN63420,2012-06-25 08:15:00,13.5
1167,Sunndalsøra Iii,SN63420,2012-06-25 08:45:00,13.8
1168,Sunndalsøra Iii,SN63420,2012-06-25 09:15:00,14.1
1169,Sunndalsøra Iii,SN63420,2012-06-25 09:45:00,14.8
1170,Sunndalsøra Iii,SN63420,2012-06-25 10:15:00,15.4
1171,Sunndalsøra Iii,SN63420,2012-06-25 10:45:00,15.2
1172,Sunndalsøra Iii,SN63420,2012-06-25 11:15:00,15.1
1173,Sunndalsøra Iii,SN63420,2012-06-25 11:45:00,15.3
1174,Sunndalsøra Iii,SN63420,2012-06-25 12:15:00,15.5
1175,Sunndalsøra Iii,SN63420,2012-06-25 12:45:00,16.1
1176,Sunndalsøra Iii,SN63420,2012-06-25 13:15:00,16.8
1177,Sunndalsøra Iii,SN63420,2012-06-25 13:45:00,16.6
1178,Sunndalsøra Iii,SN63420,2012-06-25 14:15:00,16.5
1179,Sunndalsøra Iii,SN63420,2012-06-25 14:45:00,16.4
1180,Sunndalsøra Iii,SN63420,2012-06-25 15:15:00,16.2
1181,Sunndalsøra Iii,SN63420,2012-06-25 15:45:00,16.3
1182,Sunndalsøra Iii,SN63420,2012-06-25 16:15:00,16.4
1183,Sunndalsøra Iii,SN63420,2012-06-25 16:45:00,15.9
1184,Sunndalsøra Iii,SN63420,2012-06-25 17:15:00,15.5
1185,Sunndalsøra Iii,SN63420,2012-06-25 17:45:00,15.1
1186,Sunndalsøra Iii,SN63420,2012-06-25 18:15:00,14.7
1187,Sunndalsøra Iii,SN63420,2012-06-25 18:45:00,14.6
1188,Sunndalsøra Iii,SN63420,2012-06-25 19:15:00,14.4
1189,Sunndalsøra Iii,SN63420,2012-06-25 19:45:00,14.4
1190,Sunndalsøra Iii,SN63420,2012-06-25 20:15:00,14.3
1191,Sunndalsøra Iii,SN63420,2012-06-25 20:45:00,13.7
1192,Sunndalsøra Iii,SN63420,2012-06-25 21:15:00,13.1
1193,Sunndalsøra Iii,SN63420,2012-06-25 21:45:00,12.9
1194,Sunndalsøra Iii,SN63420,2012-06-25 22:15:00,12.8
1195,Sunndalsøra Iii,SN63420,2012-06-25 22:45:00,12.5
1196,Sunndalsøra Iii,SN63420,2012-06-25 23:15:00,12.2
1197,Sunndalsøra Iii,SN63420,2012-06-25 23:45:00,12.1
1198,Sunndalsøra Iii,SN63420,2012-06-26 00:15:00,11.9
1199,Sunndalsøra Iii,SN63420,2012-06-26 00:45:00,11.6
1200,Sunndalsøra Iii,SN63420,2012-06-26 01:15:00,11.2
1201,Sunndalsøra Iii,SN63420,2012-06-26 01:45:00,11.0
1202,Sunndalsøra Iii,SN63420,2012-06-26 02:15:00,10.8
1203,Sunndalsøra Iii,SN63420,2012-06-26 02:45:00,10.6
1204,Sunndalsøra Iii,SN63420,2012-06-26 03:15:00,10.4
1205,Sunndalsøra Iii,SN63420,2012-06-26 03:45:00,10.3
1206,Sunndalsøra Iii,SN63420,2012-06-26 04:15:00,10.2
1207,Sunndalsøra Iii,SN63420,2012-06-26 04:45:00,10.2
1208,Sunndalsøra Iii,SN63420,2012-06-26 05:15:00,10.3
1209,Sunndalsøra Iii,SN63420,2012-06-26 05:45:00,10.4
1210,Sunndalsøra Iii,SN63420,2012-06-26 06:15:00,10.6
1211,Sunndalsøra Iii,SN63420,2012-06-26 06:45:00,10.5
1212,Sunndalsøra Iii,SN63420,2012-06-26 07:15:00,10.4
1213,Sunndalsøra Iii,SN63420,2012-06-26 07:45:00,10.6
1214,Sunndalsøra Iii,SN63420,2012-06-26 08:15:00,10.8
1215,Sunndalsøra Iii,SN63420,2012-06-26 08:45:00,10.9
1216,Sunndalsøra Iii,SN63420,2012-06-26 09:15:00,10.9
1217,Sunndalsøra Iii,SN63420,2012-06-26 09:45:00,10.9
1218,Sunndalsøra Iii,SN63420,2012-06-26 10:15:00,10.8
1219,Sunndalsøra Iii,SN63420,2012-06-26 10:45:00,10.9
1220,Sunndalsøra Iii,SN63420,2012-06-26 11:15:00,11
1221,Sunndalsøra Iii,SN63420,2012-06-26 11:45:00,10.9
1222,Sunndalsøra Iii,SN63420,2012-06-26 12:15:00,10.9
1223,Sunndalsøra Iii,SN63420,2012-06-26 12:45:00,10.9
1224,Sunndalsøra Iii,SN63420,2012-06-26 13:15:00,10.8
1225,Sunndalsøra Iii,SN63420,2012-06-26 13:45:00,11.0
1226,Sunndalsøra Iii,SN63420,2012-06-26 14:15:00,11.2
1227,Sunndalsøra Iii,SN63420,2012-06-26 14:45:00,11.1
1228,Sunndalsøra Iii,SN63420,2012-06-26 15:15:00,10.9
1229,Sunndalsøra Iii,SN63420,2012-06-26 15:45:00,10.7
1230,Sunndalsøra Iii,SN63420,2012-06-26 16:15:00,10.4
1231,Sunndalsøra Iii,SN63420,2012-06-26 16:45:00,10.4
1232,Sunndalsøra Iii,SN63420,2012-06-26 17:15:00,10.4
1233,Sunndalsøra Iii,SN63420,2012-06-26 17:45:00,10.6
1234,Sunndalsøra Iii,SN63420,2012-06-26 18:15:00,10.8
