RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K478192,2017-07-15,Sau,Spel,,2017-07-15,2017-07-15,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7029748,637887,7030882,337905,7035362,1297613,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K478193,2017-07-15,Sau,Spel,,2017-07-15,2017-07-15,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7029692,637840,7030831,337853,7035311,1297561,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K498650,2018-06-08,Sau,Spel,,2018-06-08,2018-06-08,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026900,341971,7026900,341971,7031327,1301631,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498537,2018-02-08,Sau,Spel,,2018-02-08,2018-02-08,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7025745,338291,7025745,338291,7030217,1297935,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498357,2018-07-25,Sau,Spel,,2018-07-25,2018-07-25,Nei,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028060,340839,7028060,340839,7032502,1300513,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K497970,2018-08-07,Sau,Spel,,2018-08-07,2018-08-07,Nei,Hunn,Voksen,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7031389,340323,7031389,340323,7035839,1300039,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498648,2018-06-08,Sau,Spel,,2018-06-08,2018-06-08,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026945,342020,7026945,342020,7031371,1301681,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K479579,2017-08-23,Sau,Spel,,2017-08-22,2017-08-22,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7024502,637512,7025694,337041,7030182,1296684,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K497600,2018-06-27,Sau,Spel,,2018-06-26,2018-06-26,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028889,340760,7028889,340760,7033332,1300445,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K496848,2018-05-06,Sau,Spel,,2018-04-06,2018-04-06,Nei,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026809,637552,7027987,337297,7032473,1296968,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
