RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke,latitude,longitude
K471770,24.08.2016,Sau,Norsk kvit sau,,23.08.2016,24.08.2016,Nei,Hunn,Voksen,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010586,349910,7010586,349910,7014905,1309369,WGS84-UTM Sone 33,Mindre god,Meråker (N),1-50,Trøndelag (N),63.1930353966813,12.01635908666741
K471771,24.08.2016,Sau,Norsk kvit sau,,23.08.2016,24.08.2016,Nei,Hunn,Voksen,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7009994,350418,7009994,350418,7014306,1309870,WGS84-UTM Sone 33,Mindre god,Meråker (N),1-50,Trøndelag (N),63.187940781356495,12.026985934852599
K471772,25.08.2016,Sau,Norsk kvit sau,,24.08.2016,25.08.2016,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7019345,346186,7019345,346186,7023715,1305753,WGS84-UTM Sone 33,Mindre god,Meråker (N),1-50,Trøndelag (N),63.26996316243327,11.934142472438973
K476848,03.06.2017,Sau,Norsk kvit sau,,03.06.2017,03.06.2017,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7022458,642940,7023151,342255,7027572,1301868,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.30236346943703,11.852208654429552
K477153,11.06.2017,Sau,Norsk kvit sau,,07.06.2017,10.06.2017,Ja,Hunn,Voksen,1,Dødt,Ukjent fredet rovvilt,Antatt sikker,Utmark,1-5034,7021504,644468,7022059,343687,7026461,1303287,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.29320503091972,11.88179176956561
K477209,13.06.2017,Sau,Norsk kvit sau,,07.06.2017,09.06.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7020677,644959,7021189,344099,7025586,1303688,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.285587798597476,11.8908366465168
K478467,23.07.2017,Sau,Norsk kvit sau,,22.07.2017,23.07.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7022145,643444,7022792,342727,7027208,1302336,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.29935381839003,11.861960669500938
K470433,26.07.2016,Sau,Norsk kvit sau,,25.07.2016,26.07.2016,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7023585,643784,7024194,343201,7028604,1302827,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.312125586470835,11.870037172128848
K499261,28.08.2018,Sau,Norsk kvit sau,,25.08.2018,27.08.2018,Ja,Hann,Under 1 år,1,Dødt,Gaupe,Antatt sikker,Utmark,1-5034,7021755,342530,7021755,342530,7026172,1302126,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.28997430703099,11.859049519499933
K499713,12.09.2018,Sau,Annet,"Kryssing, grå trønder/gammelnorsk spæl",11.09.2018,12.09.2018,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7041508,340366,7041508,340366,7045962,1300209,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.466021064981696,11.796286828010563
K479773,30.08.2017,Sau,Annet,"Kryssing, grå trønder/gammelnorsk spæl",29.08.2017,29.08.2017,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7039136,640004,7040032,340891,7044479,1300716,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.45303016835058,11.808278467867796
K497564,26.06.2018,Sau,Norsk kvit sau,,25.06.2018,25.06.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028441,339405,7028441,339405,7032901,1299083,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.34850004349344,11.790162962654085
K497977,08.07.2018,Sau,Norsk kvit sau,,08.07.2018,08.07.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7030855,339691,7030855,339691,7035312,1299400,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.370259712096924,11.793456988592105
K498602,05.08.2018,Sau,Norsk kvit sau,,01.08.2018,01.08.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7025044,337642,7025044,337642,7029524,1297277,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.31726512859768,11.758422702456102
K498378,25.07.2018,Sau,Norsk kvit sau,,25.07.2018,25.07.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028959,340375,7028959,340375,7033407,1300060,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.35357615033217,11.808999413595982
K470687,01.08.2016,Sau,,,30.07.2016,31.07.2016,Nei,Hunn,Åring,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7027540,635510,7028906,335332,7033417,1295014,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.350814018935054,11.708437545365166
K478679,30.07.2017,Sau,Norsk kvit sau,,30.07.2017,30.07.2017,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027423,640116,7028359,339907,7032812,1299585,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.347990368759575,11.800259461690597
K511923,11.08.2020,Sau,Spel,,09.08.2020,10.08.2020,Ja,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7034706,341174,7034706,341174,7039147,1300932,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.40543087890743,11.819245273081405
K512036,15.08.2020,Sau,Spel,,13.08.2020,14.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7035922,341303,7035922,341303,7040362,1301076,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.41638481243225,11.82061651660999
K512687,09.09.2020,Sau,Spel,,05.09.2020,07.09.2020,Ja,Hann,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7035249,341508,7035249,341508,7039686,1301273,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.410445267748116,11.825383502304573
K512768,14.09.2020,Sau,Spel,,11.09.2020,12.09.2020,Ja,Hann,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7035414,339287,7035414,339287,7039879,1299053,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.41092975375576,11.78081429622602
K504149,23.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7034102,640884,7034937,341296,7039376,1301057,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.407555164578106,11.821454713217857
K478200,15.07.2017,Sau,Spel,,12.07.2017,13.07.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7042230,641430,7042979,342600,7047406,1302463,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.48019822591756,11.839583041631029
K503163,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7040924,343903,7040924,343903,7045333,1303741,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.4623573201741,11.867715320740338
K503164,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7041068,343817,7041068,343817,7045479,1303657,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.46361000238942,11.86585142237281
K503165,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7041007,343852,7041007,343852,7045417,1303691,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.463078727540136,11.866612355310064
K503166,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7041024,343835,7041024,343835,7045434,1303674,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.4632236077909,11.866255153182916
K503167,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7040992,343852,7040992,343852,7045402,1303691,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.462944308409135,11.866627070412486
K503168,19.06.2019,Sau,Spel,,18.06.2019,18.06.2019,Nei,Hunn,Åring,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7040947,343788,7040947,343788,7045358,1303626,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.462512957546096,11.865389270801964
K503179,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7042624,343121,7042624,343121,7047044,1302980,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.47724731097976,11.850375459465043
K503180,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7042625,343125,7042625,343125,7047045,1302984,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.47725803690083,11.850454634279123
K503181,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7042637,343134,7042637,343134,7047057,1302993,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.47736954098459,11.850623158243122
K503182,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7042500,343208,7042500,343208,7046919,1303065,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.47617450467887,11.852241252392021
K503195,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7041064,642434,7041724,343491,7046139,1303339,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.46934529406101,11.858676111536067
K503238,21.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Nei,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7040623,642657,7041264,343672,7045676,1303514,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.46530272281331,11.862754395742229
K503239,21.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7045583,645558,7045931,347024,7050303,1306927,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.50858449214393,11.925412272826113
K503244,22.06.2019,Sau,Spel,,17.06.2019,19.06.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7040688,642579,7041336,343600,7045749,1303443,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.465916284969154,11.861241314555274
K503340,24.06.2019,Sau,Spel,,24.06.2019,24.06.2019,Nei,Hunn,Åring,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7043363,342447,7043363,342447,7047792,1302315,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.483571476292994,11.836135931161404
K503341,24.06.2019,Sau,Spel,,24.06.2019,24.06.2019,Nei,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7043575,342312,7043575,342312,7048006,1302182,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.48541133953074,11.833219548937906
K503347,24.06.2019,Sau,Spel,,23.06.2019,24.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7041430,642197,7042111,343289,7046528,1303142,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.472724323140184,11.85424779856613
K503556,01.07.2019,Sau,Spel,,10.06.2019,24.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7038323,640756,7039152,341564,7043590,1301378,WGS84-UTM Sone 32,Mindre god,Meråker (N),1-50,Trøndelag (N),63.44544476799831,11.822628845804145
K504046,21.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Hunn,Åring,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7035066,341303,7035066,341303,7039505,1301066,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.40871424271233,11.821466589021854
K504048,21.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7035063,341260,7035063,341260,7039503,1301023,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.408668222722994,11.820609913813474
K504050,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033778,638856,7034804,339247,7039269,1299005,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40544576098449,11.780627998329015
K504051,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033778,638846,7034805,339237,7039270,1298995,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.405450214558755,11.780427103877471
K504052,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033783,638861,7034809,339252,7039274,1299011,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40549281740432,11.78072291613012
K504053,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033782,638859,7034808,339250,7039273,1299008,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40548295544575,11.780683943612841
K504054,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033777,638856,7034803,339247,7039268,1299005,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40543680038295,11.780629003704382
K504056,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Åring,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033786,638871,7034811,339262,7039276,1299021,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40551524522763,11.7809207949867
K470921,06.08.2016,Sau,Norsk kvit sau,,05.08.2016,06.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7021761,643043,7022448,342292,7026868,1301897,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.29607991637635,11.853633311329231
K469816,07.07.2016,Sau,Norsk kvit sau,,04.07.2016,07.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7014590,645660,7015063,344228,7019455,1303740,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.23074395473125,11.899304656528466
K470065,14.07.2016,Sau,Norsk kvit sau,,13.07.2016,14.07.2016,Ja,Hunn,Under 1 år,1,Skadd og ikke avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7048272,644106,7048744,345830,7053133,1305768,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.53327675651004,11.89871962366923
