RovbaseID,Art,Totalt antall,Antall unger,Antall voksne,Antall usikre,Vurdering,"Aktivitetsdato, fra","Aktivitetsdato, til",Usikker aktivitetsdato,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Spor,Synsobservasjon,Leie,Ekskrement,Takseringslinje,Hår,Merker på trær,Hifunn,Revirmarkering,Graving,Observasjonsdato,Kjønn,Observert byttedyr,Annen observasjon,Kontrollstatus,Yngling,Barmark,Snø,AlleRevirmarkeringerKanSes,RegelmessigRevirmarkering,Kommunenummer,Kommune,Fylkenummer,Fylke
R520046,Ulv,1,0,1,0,Feilmelding,20.04.2019,21.04.2019,Nei,7057420,643900,7057872,346482,7062257,1306535,WGS84-UTM Sone 32,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,22.04.2019,,,,Feltkontroll - SNO,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R520977,Bjørn,1,,1,,Dokumentert,22.09.2019,22.09.2019,Nei,7039066,638063,7040144,338952,7044615,1298777,WGS84-UTM Sone 32,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,22.09.2019,Ukjent,,,Fotodokumentasjon,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R521051,Bjørn,1,0,1,0,Dokumentert,07.10.2019,07.10.2019,Nei,7030208,341522,7030208,341522,7034642,1301224,WGS84-UTM Sone 33,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,07.10.2019,Ukjent,,,Feltkontroll - SNO,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R522591,Gaupe,2,1,1,,Usikker,05.12.2019,06.12.2019,Ja,7031976,335736,7031976,335736,7036484,1295457,WGS84-UTM Sone 33,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,07.12.2019,,Rådyr,,Feltkontroll - Rovviltkontakt,Ja,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R523405,Gaupe,2,1,1,0,Dokumentert,08.01.2020,10.01.2020,Nei,7032410,335858,7032410,335858,7036916,1295584,WGS84-UTM Sone 33,God,Ja,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,10.01.2020,,Rådyrkje,"Leie ved bytte,",Feltkontroll - Rovviltkontakt,Ja,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R526110,Gaupe,4,3,1,,Dokumentert,18.03.2020,18.03.2020,Nei,7037821,632076,7039464,332874,7044012,1292688,WGS84-UTM Sone 32,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,18.03.2020,,,,Feltkontroll - SNO,Ja,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R526266,Gaupe,5,4,1,,Dokumentert,21.03.2020,21.03.2020,Nei,7037022,635377,7038360,336086,7042866,1295888,WGS84-UTM Sone 32,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,21.03.2020,Ukjent,Rådyr,Viltkamera,Feltkontroll - Rovviltkontakt,Ja,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R526949,Ulv,1,,1,,Usikker,21.04.2020,21.04.2020,Nei,7020711,628072,7022801,327287,7027410,1286888,WGS84-UTM Sone 32,Meget god,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,21.04.2020,Ukjent,,,Feltkontroll - SNO,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R527534,Bjørn,1,0,1,0,Dokumentert,19.05.2020,20.05.2020,Nei,7037243,345737,7037243,345737,7041627,1305529,WGS84-UTM Sone 33,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,20.05.2020,,,,Feltkontroll - SNO,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R529453,Ulv,1,,,1,Kan ikke vurderes,27.11.2020,28.11.2020,Nei,7054445,640916,7055189,343232,7059614,1303250,WGS84-UTM Sone 32,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,28.11.2020,,,,Ikke kontrollert,Nei,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R532579,Gaupe,2,1,1,,Usikker,07.02.2021,07.02.2021,Nei,7033533,636205,7034808,336584,7039307,1296341,WGS84-UTM Sone 32,Særs god,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Ja,07.02.2021,Ukjent,Rådyr,,Feltkontroll - Rovviltkontakt,Ja,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R535148,Ulv,3,0,3,0,Feilmelding,03.04.2021,03.04.2021,Nei,7049294,343097,7049294,343097,7053718,1303040,WGS84-UTM Sone 33,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,04.04.2021,,,,Feltkontroll - SNO,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R537002,Gaupe,3,2,1,0,Usikker,22.10.2021,23.10.2021,Nei,7039893,328489,7039893,328489,7044496,1288306,WGS84-UTM Sone 33,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,23.10.2021,,,,Feltkontroll - SNO,Ja,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R537799,Gaupe,3,2,1,,Dokumentert,01.12.2021,02.12.2021,Nei,7039628,330350,7039628,330350,7044208,1290165,WGS84-UTM Sone 33,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,03.12.2021,,Ett rådyr,,Feltkontroll - SNO,Ja,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R539035,Ulv,1,0,1,0,Dokumentert,31.12.2021,01.01.2022,Nei,7030417,334683,7030417,334683,7034937,1294384,WGS84-UTM Sone 33,God,Ja,Nei,Ja,Ja,Nei,Ja,Nei,Nei,Nei,Nei,01.01.2022,,Ett rådyr,,Feltkontroll - SNO,Nei,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R539035,Ulv,1,0,1,0,Dokumentert,31.12.2021,01.01.2022,Nei,7030417,334683,7030417,334683,7034937,1294384,WGS84-UTM Sone 33,God,Ja,Nei,Ja,Ja,Nei,Ja,Nei,Nei,Nei,Nei,01.01.2022,,Ett rådyr,,Feltkontroll - SNO,Nei,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R542141,Ulv,1,0,1,0,Feilmelding,26.02.2022,26.02.2022,Nei,7050226,345104,7050226,345104,7054625,1305060,WGS84-UTM Sone 33,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,26.02.2022,,,,Feltkontroll - SNO,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R543147,Ulv,1,0,1,0,Feilmelding,29.03.2022,29.03.2022,Nei,7032094,340853,7032094,340853,7036537,1300578,WGS84-UTM Sone 33,God,Ja,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,29.03.2022,,,,Feltkontroll - SNO,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R543658,Ulv,1,,1,0,Feilmelding,15.04.2022,16.04.2022,Nei,7032530,653010,7032238,353222,7036526,1312955,WGS84-UTM Sone 32,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,16.04.2022,,,,Fotodokumentasjon,Nei,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
