Date,Time,TTF,Lat,Long,2D3D,Alt,DOP,SVs,FOM,X,Y,Temp,Bat,Status,SCap,GPS,GSM
2015-07-03,01:15:00,44,62.985828,8.233717,3D,93.0,2.8,4,0,3,2.0,19.0,587.0,1000010.0,0.0,1.0,00000000
2015-07-03,01:45:00,41,62.985628,8.232413,3D,100.0,1.9,6,0,18,12.0,16.0,587.0,1000010.0,0.0,1.0,00000000
2015-07-03,02:15:00,30,62.985553,8.233583,3D,91.0,3.0,4,0,0,0.0,15.0,586.0,1000010.0,0.0,1.0,00000000
2015-07-03,02:45:00,30,62.985792,8.233745,3D,87.0,1.7,5,0,4,6.0,17.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,03:15:00,30,62.985915,8.23358,3D,107.0,2.0,6,0,2,2.0,17.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,03:45:00,30,62.985818,8.233812,3D,93.0,1.3,6,0,2,6.0,19.0,592.0,1000010.0,0.0,1.0,00000000
2015-07-03,04:15:00,30,62.985895,8.233035,3D,88.0,3.0,5,0,0,3.0,18.0,591.0,1000010.0,0.0,1.0,00000000
2015-07-03,04:45:00,30,62.985148,8.225585,3D,110.0,4.5,4,0,16,12.0,17.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,05:15:00,41,62.984803,8.224697,3D,112.0,2.4,5,0,28,23.0,16.0,587.0,1000010.0,0.0,1.0,00000000
2015-07-03,05:45:00,30,62.985315,8.227157,3D,117.0,2.3,4,0,21,12.0,16.0,587.0,1000010.0,0.0,1.0,00000000
2015-07-03,06:15:00,35,62.984978,8.227088,3D,118.0,1.2,5,0,19,4.0,16.0,587.0,1000010.0,0.0,1.0,00000000
2015-07-03,06:45:00,41,62.984895,8.22653,3D,111.0,2.3,5,0,29,18.0,16.0,587.0,1000010.0,0.0,1.0,00000000
2015-07-03,07:15:00,30,62.985203,8.225997,3D,95.0,1.6,4,0,3,1.0,16.0,588.0,1000010.0,0.0,1.0,00000000
2015-07-03,07:45:00,30,62.985078,8.226362,3D,113.0,1.3,4,0,1,0.0,18.0,590.0,1000010.0,0.0,1.0,00000000
2015-07-03,08:15:00,30,62.985055,8.226422,3D,123.0,1.0,5,0,18,8.0,19.0,590.0,1000010.0,0.0,1.0,00000000
2015-07-03,08:45:00,42,62.985072,8.22635,3D,110.0,2.0,4,0,1,1.0,20.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,09:15:00,86,62.98489,8.22662,3D,111.0,1.8,5,0,8,21.0,22.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,09:45:00,30,62.9851,8.22588,3D,96.0,3.3,4,0,17,12.0,18.0,590.0,1000010.0,0.0,1.0,00000000
2015-07-03,10:15:00,30,62.985135,8.225905,3D,111.0,1.8,5,0,18,9.0,18.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,10:45:00,30,62.985185,8.226155,3D,100.0,2.2,4,0,3,2.0,20.0,592.0,1000010.0,0.0,1.0,00000000
2015-07-03,11:15:00,31,62.985295,8.222973,3D,133.0,2.3,5,0,22,19.0,20.0,592.0,1000010.0,0.0,1.0,00000000
2015-07-03,11:45:00,30,62.987783,8.214722,3D,191.0,2.3,4,0,21,11.0,18.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,12:15:00,60,62.990252,8.204762,3D,323.0,1.4,6,0,8,7.0,18.0,589.0,1000010.0,0.0,1.0,00000000
2015-07-03,12:45:00,30,62.99029,8.203088,3D,336.0,1.4,6,0,14,15.0,20.0,591.0,1000010.0,0.0,1.0,00000000
2015-07-03,13:15:00,30,62.989817,8.200112,3D,315.0,1.4,6,0,17,14.0,20.0,591.0,1000010.0,0.0,1.0,00000000
2015-07-03,13:45:00,30,62.989812,8.199355,3D,322.0,1.4,6,0,18,10.0,20.0,591.0,1000010.0,0.0,1.0,00000000
