Date,Time,TTF,Lat,Long,2D3D,Alt,DOP,SVs,FOM,X,Y,Temp,Bat,Status,SCap,GPS,GSM
2015-07-03,00:15:00,46,62.98614,8.248142,3D,42.0,2.9,4,0.0,0.0,0,17.0,618.0,1000010.0,0.0,1.0,00000000
2015-07-03,00:45:00,30,62.986102,8.24817,3D,40.0,2.2,4,0.0,0.0,0,17.0,620.0,1000010.0,0.0,1.0,00000000
2015-07-03,01:15:00,30,62.986,8.24816,3D,10.0,3.1,4,0.0,0.0,0,17.0,619.0,1000010.0,0.0,1.0,00000000
2015-07-03,01:26:00,Mortality,16.0,619.0,00000100,0.0,1.0,0,,,,,,,,,
2015-07-03,01:45:00,30,62.986132,8.248208,3D,26.0,2.1,4,0.0,0.0,0,16.0,618.0,1000010.0,0.0,1.0,00000000
2015-07-03,02:15:00,42,62.986128,8.248197,3D,36.0,1.1,7,0.0,0.0,0,16.0,617.0,1000010.0,0.0,1.0,00000000
2015-07-03,02:45:00,30,62.986067,8.248267,3D,30.0,1.1,7,0.0,0.0,0,16.0,618.0,1000010.0,0.0,1.0,00000000
2015-07-03,03:15:00,30,62.986125,8.248285,3D,38.0,3.5,5,0.0,0.0,0,17.0,618.0,1000010.0,0.0,1.0,00000000
2015-07-03,03:45:00,30,62.986147,8.248208,3D,44.0,2.4,4,0.0,0.0,0,17.0,619.0,1000010.0,0.0,1.0,00000000
2015-07-03,04:15:00,48,62.986218,8.248293,3D,32.0,1.4,5,0.0,0.0,0,18.0,616.0,1000010.0,0.0,1.0,00000000
2015-07-03,04:45:00,48,62.986142,8.248287,3D,32.0,1.9,4,0.0,0.0,0,18.0,616.0,1000010.0,0.0,1.0,00000000
2015-07-03,05:15:00,30,62.986107,8.247903,3D,80.0,1.9,4,0.0,0.0,0,17.0,619.0,1000010.0,0.0,1.0,00000000
2015-07-03,05:45:00,66,62.986195,8.24817,3D,55.0,3.5,4,0.0,0.0,0,17.0,616.0,1000010.0,0.0,1.0,00000000
2015-07-03,06:15:00,71,62.986267,8.248287,2D,0.0,5.6,3,0.0,0.0,0,16.0,615.0,10000010.0,0.0,1.0,00000000
2015-07-03,06:45:00,45,62.986258,8.248062,3D,70.0,2.8,5,0.0,0.0,0,17.0,615.0,1000010.0,0.0,1.0,00000000
2015-07-03,07:15:00,61,62.986047,8.248287,3D,23.0,1.6,4,0.0,0.0,0,16.0,615.0,1000010.0,0.0,1.0,00000000
2015-07-03,07:15:00,Mortality,17.0,615.0,00000100,0.0,1.0,0,,,,,,,,,
2015-07-03,07:45:00,41,62.986063,8.2483,3D,7.0,1.8,5,0.0,0.0,0,17.0,615.0,1000010.0,0.0,1.0,00000000
2015-07-03,08:15:00,30,62.986155,8.24826,3D,39.0,1.4,4,0.0,0.0,0,18.0,617.0,1000010.0,0.0,1.0,00000000
2015-07-03,08:45:00,45,62.986217,8.248182,3D,39.0,1.4,5,0.0,0.0,0,18.0,615.0,1000010.0,0.0,1.0,00000000
2015-07-03,09:15:00,49,62.98615,8.24837,3D,40.0,1.4,4,0.0,0.0,0,18.0,615.0,1000010.0,0.0,1.0,00000000
2015-07-03,09:45:00,45,62.985993,8.24819,3D,17.0,4.0,5,0.0,0.0,0,18.0,616.0,1000010.0,0.0,1.0,00000000
