Date,Time,TTF,Lat,Long,2D3D,Alt,DOP,SVs,FOM,X,Y,Temp,Bat,Status,SCap,GPS,GSM
2013-06-23,00:15:00,23,62.888793,8.228933,3D,439,1.6,5,1.0,0.0,0,17.0,618.0,1000010.0,708,00001111,11111111.0
2013-06-23,00:45:00,59,62.888973,8.229202,2D,0,8.0,3,0.0,0.0,0,19.0,614.0,10001010.0,708,00001111,11111111.0
2013-06-23,01:15:00,64,62.888583,8.228797,3D,477,1.7,4,4.0,0.0,0,18.0,614.0,1000010.0,708,00001111,11111111.0
2013-06-23,01:45:00,72,62.88895,8.22845,3D,482,2.2,4,35.0,28.0,6,13.0,611.0,1000010.0,708,00001111,11111111.0
2013-06-23,02:15:00,71,62.889718,8.23057,3D,471,3.8,5,0.0,31.0,19,12.0,610.0,1000010.0,708,00001111,11111111.0
2013-06-23,02:45:00,Time Out,27.0,5.0,10,610,1000.0,704,1111.0,11111111.0,,,,,,,
2013-06-23,03:15:00,76,62.887777,8.235642,3D,434,3.9,4,0.0,37.0,8,10.0,610.0,1000010.0,704,00001111,11111111.0
2013-06-23,03:45:00,61,62.888047,8.235883,3D,447,3.5,4,1.0,21.0,8,11.0,611.0,1000010.0,708,00001111,11111111.0
2013-06-23,04:15:00,60,62.888062,8.23645,3D,445,3.5,4,1.0,0.0,0,11.0,611.0,1100010.0,708,00001011,11111111.0
2013-06-23,04:45:00,61,62.888095,8.236618,3D,443,2.1,6,1.0,13.0,3,15.0,613.0,1000010.0,704,00001111,11111111.0
2013-06-23,05:15:00,60,62.888272,8.237697,3D,450,1.4,8,4.0,7.0,4,12.0,612.0,1000010.0,704,00001111,11111111.0
2013-06-23,05:45:00,23,62.888365,8.237492,3D,435,2.7,5,2.0,1.0,0,16.0,617.0,1000010.0,696,00001111,1111111.0
2013-06-23,06:15:00,60,62.888923,8.239723,3D,446,3.9,5,3.0,8.0,8,13.0,612.0,1000010.0,692,00001111,1111111.0
2013-06-23,06:45:00,60,62.889035,8.240525,3D,464,4.7,4,0.0,0.0,0,17.0,613.0,1000010.0,696,00001111,11111111.0
2013-06-23,07:15:00,73,62.889102,8.240585,3D,444,2.0,6,5.0,0.0,0,20.0,615.0,1000010.0,688,00001111,1111111.0
2013-06-23,07:45:00,23,62.88908,8.240913,3D,472,2.2,6,2.0,5.0,6,18.0,620.0,1000010.0,696,00001111,1111111.0
2013-06-23,08:15:00,60,62.889065,8.240855,3D,456,3.2,6,1.0,13.0,4,15.0,613.0,1000010.0,696,00001111,11111111.0
2013-06-23,08:45:00,60,62.889235,8.241838,3D,0,12.0,5,0.0,0.0,0,16.0,613.0,1000010.0,708,00001111,11111111.0
2013-06-23,09:15:00,22,62.88959,8.240972,3D,477,2.6,5,0.0,0.0,0,23.0,621.0,1000010.0,708,00001111,11111111.0
