Date,Time,TTF,Lat,Long,2D3D,Alt,DOP,SVs,FOM,X,Y,Temp,Bat,Status,SCap,GPS,GSM
2013-06-16,00:15:00,30,62.989327,8.22455,3D,237,1.3,5,0.0,0.0,0.0,13.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,00:45:00,42,62.989338,8.224585,3D,232,3.0,4,0.0,0.0,0.0,13.0,611.0,1000010.0,0.0,1.0,0.0
2013-06-16,01:15:00,30,62.989397,8.224502,3D,270,3.7,5,0.0,0.0,1.0,13.0,612.0,1000010.0,0.0,1.0,0.0
2013-06-16,01:45:00,30,62.989188,8.224882,3D,227,3.4,5,0.0,11.0,6.0,11.0,612.0,1000010.0,0.0,1.0,0.0
2013-06-16,02:15:00,42,62.989047,8.22409,3D,230,2.3,5,0.0,10.0,12.0,9.0,610.0,1000010.0,0.0,1.0,0.0
2013-06-16,02:45:00,30,62.989267,8.22451,3D,244,2.4,5,0.0,2.0,0.0,10.0,611.0,1000010.0,0.0,1.0,0.0
2013-06-16,03:15:00,30,62.9888,8.224663,3D,241,15.3,4,0.0,0.0,0.0,10.0,611.0,1000010.0,0.0,1.0,0.0
2013-06-16,03:45:00,42,62.989342,8.224508,3D,244,2.5,6,0.0,0.0,0.0,13.0,611.0,1000010.0,0.0,1.0,0.0
2013-06-16,04:15:00,30,62.989323,8.22453,3D,238,2.2,5,0.0,0.0,3.0,13.0,612.0,1000010.0,0.0,1.0,0.0
2013-06-16,04:45:00,30,62.989282,8.224562,3D,230,2.3,5,0.0,0.0,2.0,17.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,05:15:00,30,62.989065,8.224207,3D,241,2.9,4,0.0,14.0,11.0,14.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,05:45:00,30,62.989817,8.224527,3D,251,3.8,4,0.0,7.0,6.0,13.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,06:15:00,69,62.990165,8.225405,2D,0,4.1,3,0.0,25.0,33.0,15.0,610.0,10000010.0,0.0,1.0,0.0
2013-06-16,06:45:00,42,62.990073,8.225088,3D,252,3.2,4,0.0,22.0,17.0,15.0,611.0,1000010.0,0.0,1.0,0.0
2013-06-16,07:15:00,30,62.990165,8.22519,3D,276,2.5,4,0.0,2.0,2.0,15.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,07:45:00,30,62.990203,8.225328,3D,253,3.9,4,0.0,13.0,9.0,17.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,08:15:00,42,62.990542,8.226438,3D,254,3.8,5,0.0,24.0,15.0,20.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,08:45:00,30,62.990352,8.226007,3D,263,4.2,5,0.0,21.0,10.0,19.0,615.0,1000010.0,0.0,1.0,0.0
2013-06-16,09:15:00,30,62.989388,8.225477,3D,254,7.9,4,0.0,13.0,10.0,19.0,615.0,1000010.0,0.0,1.0,0.0
2013-06-16,09:45:00,42,62.989695,8.223402,3D,247,2.2,6,0.0,0.0,0.0,19.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,10:15:00,30,62.989772,8.223237,3D,230,2.6,6,0.0,0.0,0.0,20.0,615.0,1000010.0,0.0,1.0,0.0
2013-06-16,10:45:00,30,62.989647,8.223402,3D,237,3.8,5,0.0,0.0,0.0,22.0,615.0,1000010.0,0.0,1.0,0.0
2013-06-16,11:15:00,30,62.989705,8.223178,3D,235,2.9,5,0.0,0.0,0.0,21.0,615.0,1000010.0,0.0,1.0,0.0
2013-06-16,11:45:00,42,62.989512,8.223695,3D,257,2.5,5,0.0,11.0,12.0,21.0,614.0,1000010.0,0.0,1.0,0.0
2013-06-16,12:15:00,65,62.989675,8.223947,2D,0,7.0,3,0.0,26.0,21.0,19.0,611.0,10000010.0,0.0,1.0,0.0
2013-06-16,12:45:00,65,62.989953,8.224985,3D,258,3.1,4,0.0,34.0,24.0,20.0,612.0,1000010.0,0.0,1.0,0.0
2013-06-16,13:15:00,30,62.989997,8.224808,3D,248,2.0,4,0.0,2.0,1.0,20.0,614.0,1000010.0,0.0,1.0,0.0
2013-06-16,13:45:00,38,62.989968,8.22483,3D,251,1.1,7,0.0,1.0,0.0,21.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,14:15:00,30,62.990195,8.225147,3D,262,2.6,6,0.0,8.0,12.0,22.0,615.0,1000010.0,0.0,1.0,0.0
2013-06-16,14:45:00,30,62.989617,8.223203,3D,242,3.1,5,0.0,15.0,4.0,20.0,614.0,1000010.0,0.0,1.0,0.0
2013-06-16,15:15:00,30,62.989168,8.223932,3D,225,3.1,5,0.0,14.0,9.0,17.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,15:45:00,30,62.989232,8.22426,3D,262,3.8,4,0.0,11.0,11.0,16.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,16:15:00,79,62.98933,8.223747,2D,0,3.7,3,0.0,48.0,42.0,17.0,610.0,10000010.0,0.0,1.0,0.0
2013-06-16,16:45:00,62,62.98932,8.223613,3D,229,3.3,4,0.0,6.0,7.0,18.0,611.0,1000010.0,0.0,1.0,0.0
2013-06-16,17:15:00,30,62.989107,8.223087,3D,223,3.6,4,0.0,12.0,6.0,17.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,17:45:00,42,62.989193,8.223132,3D,215,1.5,5,0.0,1.0,1.0,17.0,611.0,1000010.0,0.0,1.0,0.0
2013-06-16,18:15:00,30,62.989032,8.223127,3D,203,3.0,4,0.0,0.0,2.0,18.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,18:45:00,30,62.988935,8.224987,3D,223,7.4,4,0.0,19.0,11.0,16.0,613.0,1000010.0,0.0,1.0,0.0
2013-06-16,19:15:00,42,62.990338,8.226178,3D,256,5.3,4,0.0,29.0,24.0,14.0,611.0,1000010.0,0.0,1.0,0.0
