Date,Time,TTF,Lat,Long,2D3D,Alt,DOP,SVs,FOM,X,Y,Temp,Bat,Status,SCap,GPS,GSM
2012-06-10,00:00:00,63,62.897182,8.238768,3D,406,6.3,5,9,25,11,6.0,601.0,1000010.0,0.0,1111.0,0.0
2012-06-10,02:00:00,58,62.89906,8.243088,3D,412,3.0,4,15,9,15,9.0,603.0,1000010.0,712.0,1111.0,11111.0
2012-06-10,04:00:00,70,62.897367,8.243,3D,496,2.5,4,0,1,1,5.0,600.0,1000010.0,708.0,1111.0,11111111.0
2012-06-10,06:00:00,20,62.894987,8.246132,3D,524,3.4,4,1,0,0,8.0,610.0,1000010.0,0.0,1111.0,0.0
2012-06-10,08:00:00,82,62.89793,8.241432,3D,530,2.1,4,0,19,11,7.0,601.0,1000010.0,0.0,1111.0,0.0
2012-06-10,10:00:00,75,62.891975,8.244937,3D,527,1.5,4,0,9,6,9.0,603.0,1000010.0,0.0,1111.0,0.0
2012-06-10,12:00:00,61,62.89206,8.246733,2D,0,6.2,3,0,16,14,11.0,604.0,10001010.0,712.0,1111.0,11111111.0
2012-06-10,14:00:00,73,62.891808,8.244923,3D,507,2.6,4,3,0,0,14.0,606.0,1000010.0,0.0,1111.0,0.0
2012-06-10,16:00:00,100,62.88804,8.233658,2D,0,3.5,3,0,0,0,12.0,605.0,10001010.0,0.0,1111.0,0.0
2012-06-10,18:00:00,58,62.89237,8.247205,3D,523,2.2,4,0,0,0,9.0,603.0,1000010.0,0.0,1111.0,0.0
2012-06-10,20:00:00,63,62.892112,8.24624,3D,507,2.6,4,0,12,6,7.0,601.0,1000010.0,0.0,1111.0,0.0
2012-06-10,22:00:00,67,62.894205,8.25593,3D,563,1.6,6,0,0,0,4.0,597.0,1000010.0,708.0,1111.0,11111111.0
2012-06-11,00:00:00,60,62.897658,8.253602,2D,0,2.6,3,0,0,0,8.0,600.0,10001010.0,0.0,1111.0,0.0
