RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K477153,11.06.2017,Sau,Norsk kvit sau,,07.06.2017,10.06.2017,Ja,Hunn,Voksen,1,Dødt,Ukjent fredet rovvilt,Antatt sikker,Utmark,1-5034,7021504,644468,7022059,343687,7026461,1303287,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K477209,13.06.2017,Sau,Norsk kvit sau,,07.06.2017,09.06.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7020677,644959,7021189,344099,7025586,1303688,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K478461,23.07.2017,Sau,Norsk kvit sau,,12.06.2017,24.06.2017,Ja,Hunn,Voksen,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7022914,342555,7022914,342555,7027331,1302165,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K478467,23.07.2017,Sau,Norsk kvit sau,,22.07.2017,23.07.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7022145,643444,7022792,342727,7027208,1302336,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K470433,26.07.2016,Sau,Norsk kvit sau,,25.07.2016,26.07.2016,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7023585,643784,7024194,343201,7028604,1302827,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K499261,28.08.2018,Sau,Norsk kvit sau,,25.08.2018,27.08.2018,Ja,Hann,Under 1 år,1,Dødt,Gaupe,Antatt sikker,Utmark,1-5034,7021755,342530,7021755,342530,7026172,1302126,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K499713,12.09.2018,Sau,Annet,"Kryssing, grå trønder/gammelnorsk spæl",11.09.2018,12.09.2018,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7041508,340366,7041508,340366,7045962,1300209,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K479773,30.08.2017,Sau,Annet,"Kryssing, grå trønder/gammelnorsk spæl",29.08.2017,29.08.2017,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7039136,640004,7040032,340891,7044479,1300716,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K497564,26.06.2018,Sau,Norsk kvit sau,,25.06.2018,25.06.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028441,339405,7028441,339405,7032901,1299083,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K497977,08.07.2018,Sau,Norsk kvit sau,,08.07.2018,08.07.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7030855,339691,7030855,339691,7035312,1299400,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
